unix,low,high,open,close,volume,date,vol_fiat
1629158400,0.781,0.785,0.783,0.785,1625.46,2021-08-17,1275.9861
1629072000,0.772,0.827,0.815,0.785,3006470.9,2021-08-16,2360079.6565
1628985600,0.753,0.819,0.78,0.812,3167617.9,2021-08-15,2572105.7348
1628899200,0.742,0.793,0.791,0.78,2393417.81,2021-08-14,1866865.8918
1628812800,0.709,0.791,0.716,0.789,3099523.57,2021-08-13,2445524.09673
1628726400,0.69,0.775,0.742,0.714,3111777.41,2021-08-12,2221809.07074
1628640000,0.718,0.78,0.724,0.745,4500572.2,2021-08-11,3352926.2890000003
1628553600,0.689,0.726,0.702,0.724,2973007.77,2021-08-10,2152457.62548
1628467200,0.648,0.712,0.677,0.702,3957199.31,2021-08-09,2777953.91562
1628380800,0.665,0.733,0.722,0.676,4155748.02,2021-08-08,2809285.66152
1628294400,0.687,0.738,0.696,0.721,3808902.75,2021-08-07,2746218.88275
1628208000,0.661,0.707,0.678,0.696,2223323.53,2021-08-06,1547433.1768799997
1628121600,0.647,0.692,0.67,0.679,3894301.48,2021-08-05,2644230.7049200004
1628035200,0.629,0.681,0.642,0.671,2881035.4,2021-08-04,1933174.7534
1627948800,0.616,0.662,0.657,0.642,1750883.12,2021-08-03,1124066.96304
1627862400,0.638,0.672,0.66,0.656,2490107.94,2021-08-02,1633510.80864
1627776000,0.644,0.734,0.653,0.659,7639603.04,2021-08-01,5034498.40336
1627689600,0.607,0.66,0.615,0.651,2807081.83,2021-07-31,1827410.2713300001
1627603200,0.573,0.62,0.597,0.615,2093477.11,2021-07-30,1287488.42265
1627516800,0.557,0.602,0.572,0.595,1305293.64,2021-07-29,776649.7157999999
1627430400,0.552,0.586,0.573,0.571,1694075.03,2021-07-28,967316.8421299999
1627344000,0.536,0.579,0.549,0.573,1824358.44,2021-07-27,1045357.3861199999
1627257600,0.54,0.599,0.543,0.547,3601579.11,2021-07-26,1970063.7731700002
1627171200,0.522,0.548,0.536,0.543,923818.75,2021-07-25,501633.58125000005
1627084800,0.52,0.556,0.527,0.536,2126770.69,2021-07-24,1139949.08984
1626998400,0.501,0.53,0.514,0.527,1899076.91,2021-07-23,1000813.53157
1626912000,0.495,0.523,0.503,0.514,1303516.22,2021-07-22,670007.33708
1626825600,0.457,0.508,0.466,0.503,2643587.55,2021-07-21,1329724.5376499998
1626739200,0.456,0.502,0.495,0.466,3082113.75,2021-07-20,1436265.0075
1626652800,0.487,0.52,0.518,0.495,3333299.22,2021-07-19,1649983.1139
1626566400,0.515,0.555,0.534,0.519,3385939.85,2021-07-18,1757302.78215
1626480000,0.531,0.603,0.549,0.534,6901612.38,2021-07-17,3685461.0109200003
1626393600,0.494,0.58,0.507,0.549,5765043.26,2021-07-16,3165008.7497400003
1626307200,0.498,0.54,0.532,0.506,2135678.71,2021-07-15,1080653.42726
1626220800,0.498,0.538,0.535,0.532,1859082.18,2021-07-14,989031.71976
1626134400,0.526,0.553,0.549,0.535,2281044.85,2021-07-13,1220358.99475
1626048000,0.54,0.572,0.562,0.548,1820469.06,2021-07-12,997617.0448800001
1625961600,0.547,0.567,0.558,0.562,1339660.77,2021-07-11,752889.3527400001
1625875200,0.548,0.58,0.57,0.558,1487723.31,2021-07-10,830149.6069800002
1625788800,0.538,0.574,0.569,0.57,2119643.55,2021-07-09,1208196.8234999997
1625702400,0.561,0.617,0.612,0.568,3623645.23,2021-07-08,2058230.4906399997
1625616000,0.587,0.648,0.592,0.612,6244822.79,2021-07-07,3821831.54748
1625529600,0.566,0.6,0.568,0.592,1717540.12,2021-07-06,1016783.75104
1625443200,0.557,0.604,0.604,0.566,1232012.01,2021-07-05,697318.7976599999
1625356800,0.568,0.621,0.588,0.606,1415273.26,2021-07-04,857655.5955599999
1625270400,0.567,0.598,0.581,0.589,794200.2,2021-07-03,467783.91779999994
1625184000,0.546,0.59,0.581,0.581,1732095.21,2021-07-02,1006347.3170099999
1625097600,0.561,0.618,0.617,0.582,3281331.04,2021-07-01,1909734.6652799998
1625011200,0.562,0.616,0.587,0.616,2507434.85,2021-06-30,1544579.8676
1624924800,0.555,0.62,0.557,0.586,3198017.47,2021-06-29,1874038.23742
1624838400,0.532,0.57,0.543,0.557,2021893.2,2021-06-28,1126194.5124000001
1624752000,0.5,0.544,0.509,0.544,1352199.27,2021-06-27,735596.4028800001
1624665600,0.486,0.531,0.517,0.51,2196421.67,2021-06-26,1120175.0517
1624579200,0.51,0.592,0.575,0.519,2025556.16,2021-06-25,1051263.64704
1624492800,0.526,0.58,0.552,0.573,2618697.94,2021-06-24,1500513.9196199998
1624406400,0.47,0.568,0.483,0.551,3151618.89,2021-06-23,1736542.0083900003
1624320000,0.424,0.533,0.511,0.483,8032276.54,2021-06-22,3879589.5688199997
1624233600,0.499,0.604,0.603,0.511,4684261.72,2021-06-21,2393657.73892
1624147200,0.56,0.609,0.595,0.6,1429598.95,2021-06-20,857759.37
1624060800,0.591,0.628,0.611,0.596,1273141.56,2021-06-19,758792.36976
1623974400,0.588,0.658,0.658,0.611,2280071.55,2021-06-18,1393123.7170499999
1623888000,0.642,0.688,0.655,0.656,1591078.56,2021-06-17,1043747.5353600001
1623801600,0.649,0.691,0.689,0.655,2153046.71,2021-06-16,1410245.5950500001
1623715200,0.666,0.724,0.672,0.69,4043460.4,2021-06-15,2789987.6759999995
1623628800,0.638,0.678,0.65,0.672,2415582.25,2021-06-14,1623271.272
1623542400,0.598,0.661,0.619,0.649,1661182.22,2021-06-13,1078107.2607800001
1623456000,0.592,0.648,0.645,0.618,2260557.35,2021-06-12,1397024.4423
1623369600,0.639,0.717,0.664,0.645,3860605.52,2021-06-11,2490090.5604000003
1623283200,0.645,0.709,0.702,0.666,2595624.24,2021-06-10,1728685.7438400004
1623196800,0.636,0.703,0.671,0.703,3316241.1,2021-06-09,2331317.4932999997
1623110400,0.607,0.709,0.695,0.671,5015798.86,2021-06-08,3365601.0350600006
1623024000,0.688,0.8,0.763,0.695,3786931.2,2021-06-07,2631917.184
1622937600,0.742,0.779,0.749,0.762,1463750.61,2021-06-06,1115377.96482
1622851200,0.72,0.819,0.762,0.75,3275386.28,2021-06-05,2456539.71
1622764800,0.718,0.831,0.831,0.762,4050869.96,2021-06-04,3086762.90952
