unix,low,high,open,close,volume,date,vol_fiat
1629158400,673.21,674.3,673.27,673.73,26.85280708,2021-08-17,18091.541714008403
1629072000,673.25,715.0,703.6,673.58,34502.28648577,2021-08-16,23240050.131084956
1628985600,672.79,709.79,692.16,703.59,37366.61259082,2021-08-15,26290774.952775043
1628899200,642.55,693.21,654.77,692.35,34118.10006023,2021-08-14,23621666.57670024
1628812800,601.85,655.71,606.5,654.95,44071.27831011,2021-08-13,28864483.729206547
1628726400,592.29,649.96,620.57,606.51,33508.0701133,2021-08-12,20322979.60441758
1628640000,590.65,632.98,592.12,620.74,33393.22253983,2021-08-11,20728508.959374074
1628553600,573.69,606.87,591.5,592.43,29755.81142868,2021-08-10,17628235.364692893
1628467200,543.26,601.11,556.14,591.62,41690.11731478,2021-08-09,24664707.205770142
1628380800,555.0,590.09,583.99,556.3,25963.14415622,2021-08-08,14443297.094105186
1628294400,553.83,590.89,557.69,584.14,34543.85330798,2021-08-07,20178446.471323438
1628208000,537.05,561.0,549.0,557.61,30231.54619369,2021-08-06,16857412.47306348
1628121600,522.91,550.88,545.62,548.99,31594.4012852,2021-08-05,17345010.36156195
1628035200,524.68,552.6,538.5,545.62,24399.41687665,2021-08-04,13312809.836237773
1627948800,521.73,551.95,543.36,538.5,25330.12437589,2021-08-03,13640271.976416765
1627862400,519.75,567.44,526.46,543.31,37887.26722357,2021-08-02,20584531.155237816
1627776000,514.08,563.56,546.2,526.31,30232.43438011,2021-08-01,15911632.538595693
1627689600,537.19,559.48,553.32,546.05,20646.20359136,2021-07-31,11273859.471062128
1627603200,517.66,553.57,539.0,553.24,32537.0753777,2021-07-30,18000811.58195875
1627516800,498.77,547.22,511.9,539.0,37129.24259145,2021-07-29,20012661.75679155
1627430400,489.94,519.5,502.14,511.9,41215.26768635,2021-07-28,21098095.528642565
1627344000,467.61,504.12,481.42,502.14,39152.35311024,2021-07-27,19659962.590775914
1627257600,453.28,518.03,455.44,481.32,65220.43007622,2021-07-26,31391897.40428621
1627171200,441.66,459.99,459.05,455.47,18280.94806124,2021-07-25,8326423.413452984
1627084800,450.39,465.0,455.14,459.08,19567.40004677,2021-07-24,8983002.013471171
1626998400,431.41,456.32,442.18,454.97,12156.81386999,2021-07-23,5530985.606429351
1626912000,424.34,445.49,430.83,442.01,12666.01113249,2021-07-22,5598503.580671906
1626825600,392.23,435.63,398.67,431.01,22213.75139814,2021-07-21,9574348.990112321
1626739200,384.26,422.29,415.04,398.67,34660.28743033,2021-07-20,13818016.789849661
1626652800,413.11,441.52,438.07,414.97,18538.29277213,2021-07-19,7692835.351650787
1626566400,431.95,453.48,436.36,438.29,10434.9470256,2021-07-18,4573532.931850225
1626480000,430.15,446.84,438.28,436.09,20194.13848897,2021-07-17,8806461.853654927
1626393600,436.97,464.65,455.77,438.14,17270.2681479,2021-07-16,7566795.286320905
1626307200,443.83,473.76,467.2,455.75,18984.2687905,2021-07-15,8652080.501270374
1626220800,443.78,478.34,465.1,467.2,22588.20625937,2021-07-14,10553209.964377664
1626134400,459.93,484.69,479.45,465.05,20264.49297474,2021-07-13,9424002.457902836
1626048000,471.25,509.09,498.15,479.92,17509.62584202,2021-07-12,8403219.634102238
1625961600,489.29,503.75,497.28,498.15,11165.78745128,2021-07-11,5562237.018855132
1625875200,483.86,511.3,504.46,497.27,14572.50852091,2021-07-10,7246471.312192915
1625788800,470.84,510.24,490.24,504.38,22147.52867419,2021-07-09,11170770.512687953
