unix,low,high,open,close,volume,date,vol_fiat
1629158400,201.178,201.324,201.321,201.178,0.934,2021-08-17,187.900252
1629072000,199.08,216.877,216.039,201.023,14157.87105316,2021-08-16,2846057.7127193827
1628985600,191.647,217.373,199.455,216.221,15628.68882306,2021-08-15,3379250.726010856
1628899200,190.527,204.718,204.645,199.429,17379.21640728,2021-08-14,3465919.7488874434
1628812800,177.846,204.71,180.219,204.49,14084.72206178,2021-08-13,2880184.814413392
1628726400,170.342,190.516,181.154,180.31,14802.58978926,2021-08-12,2669054.9649014706
1628640000,175.764,187.999,175.873,181.313,17478.10681899,2021-08-11,3169007.9816715335
1628553600,169.297,180.208,179.164,176.011,14428.2325405,2021-08-10,2539527.6376859453
1628467200,156.459,181.6,162.038,179.036,19912.55649595,2021-08-09,3565064.4648089046
1628380800,159.527,172.435,170.486,162.037,14036.55420371,2021-08-08,2274441.1335065574
1628294400,164.37,173.606,167.488,170.526,16480.74010447,2021-08-07,2810394.687054851
1628208000,160.255,168.308,164.577,167.493,11089.64622539,2021-08-06,1857438.1152292474
1628121600,155.013,165.228,161.772,164.575,12386.66545103,2021-08-05,2038535.4666032621
1628035200,151.129,164.559,156.42,161.629,10578.9837433,2021-08-04,1709870.5634458356
1627948800,153.341,163.82,161.52,156.42,10079.37099595,2021-08-03,1576615.2111864989
1627862400,156.213,164.331,160.146,161.78,10425.82639672,2021-08-02,1686690.1944613615
1627776000,158.362,174.0,163.913,160.131,12129.94099547,2021-08-01,1942379.5815456067
1627689600,159.751,168.237,165.332,163.501,9894.01185163,2021-07-31,1617680.8317533568
1627603200,153.608,167.318,164.852,165.489,19679.74732694,2021-07-30,3256781.7053879737
1627516800,147.733,165.072,152.662,164.5,16199.54329337,2021-07-29,2664824.871759365
1627430400,143.001,156.746,146.121,152.543,22485.84206814,2021-07-28,3430057.80660028
1627344000,137.525,147.659,142.293,146.269,10523.95614981,2021-07-27,1539328.5420765588
1627257600,139.233,156.96,139.864,142.303,27734.12341007,2021-07-26,3946648.9636231908
1627171200,136.714,143.05,140.912,139.923,6227.09863814,2021-07-25,871314.3227444632
1627084800,138.104,149.046,143.077,141.028,18246.97993188,2021-07-24,2573335.0858331723
1626998400,135.399,145.599,142.091,143.008,10674.76590141,2021-07-23,1526576.9220288415
1626912000,135.273,146.497,138.998,142.323,19263.72082585,2021-07-22,2741670.5390974497
1626825600,124.303,152.095,124.98,138.951,44721.31474655,2021-07-21,6214071.405347869
1626739200,115.383,147.613,138.0,125.098,59541.73645041,2021-07-20,7448552.14647339
1626652800,109.406,175.0,115.431,137.744,69665.67335207,2021-07-19,9596028.510207532
1626566400,114.939,121.946,116.162,115.411,5680.35918016,2021-07-18,655575.9333414458
1626480000,113.337,119.101,114.968,116.148,5963.96839296,2021-07-17,692703.0009055181
1626393600,114.542,124.205,122.764,114.878,6409.6156443,2021-07-16,736323.8259858954
1626307200,116.392,125.059,123.146,122.742,7957.45935154,2021-07-15,976714.4757267227
1626220800,115.72,124.679,123.589,123.146,10172.598956,2021-07-14,1252714.871035576
1626134400,121.81,127.558,126.625,124.098,8649.95466584,2021-07-13,1073442.0741214124
1626048000,125.227,135.0,128.058,126.685,12849.44715574,2021-07-12,1627832.212924922
1625961600,125.337,130.783,128.736,128.166,4869.00379889,2021-07-11,624040.7408885357
1625875200,125.347,130.927,128.372,128.431,7321.08603061,2021-07-10,940254.399997273
1625788800,120.969,130.345,126.426,128.303,8829.00781402,2021-07-09,1132788.189562208
