unix,low,high,open,close,volume,date,vol_fiat
1629158400,5.498,5.558,5.514,5.558,29463.3,2021-08-17,163757.0214
1629072000,5.45,5.942,5.699,5.516,4934165.4,2021-08-16,27216856.346400004
1628985600,5.124,5.709,5.49,5.7,3698540.9,2021-08-15,21081683.13
1628899200,5.044,5.558,5.162,5.493,4856805.5,2021-08-14,26678432.611500002
1628812800,4.609,5.163,4.663,5.159,3270583.8,2021-08-13,16872941.824199997
1628726400,4.539,5.09,4.752,4.663,5628055.1,2021-08-12,26243620.9313
1628640000,4.588,4.977,4.599,4.754,2739144.6,2021-08-11,13021893.428399999
1628553600,4.406,4.719,4.535,4.596,2386975.9,2021-08-10,10970541.236399999
1628467200,4.161,4.569,4.298,4.535,2201790.2,2021-08-09,9985118.557000002
1628380800,4.231,4.666,4.595,4.298,2134816.5,2021-08-08,9175441.317
1628294400,4.285,4.651,4.324,4.595,2472721.0,2021-08-07,11362152.995
1628208000,4.102,4.353,4.191,4.323,3642994.4,2021-08-06,15748664.7912
1628121600,3.944,4.219,4.121,4.191,2924399.1,2021-08-05,12256156.6281
1628035200,3.927,4.154,4.023,4.121,1382808.9,2021-08-04,5698555.4769
1627948800,3.869,4.094,4.024,4.022,1421119.9,2021-08-03,5715744.2378
1627862400,3.891,4.158,3.941,4.024,2220511.9,2021-08-02,8935339.885599999
1627776000,3.857,4.235,4.072,3.939,2692133.4,2021-08-01,10604313.4626
1627689600,4.003,4.198,4.07,4.073,2360320.0,2021-07-31,9613583.360000001
1627603200,3.781,4.077,3.967,4.068,1827932.3,2021-07-30,7436028.596399999
1627516800,3.804,3.989,3.923,3.968,1381475.6,2021-07-29,5481695.1808
1627430400,3.686,4.016,3.758,3.922,3442741.6,2021-07-28,13502432.555200001
1627344000,3.603,3.79,3.679,3.761,2112418.3,2021-07-27,7944805.226299999
1627257600,3.63,3.998,3.663,3.679,3236397.7,2021-07-26,11906707.1383
1627171200,3.552,3.698,3.669,3.665,1354783.7,2021-07-25,4965282.2605
1627084800,3.618,3.741,3.639,3.671,1048835.1,2021-07-24,3850273.6521
1626998400,3.456,3.662,3.565,3.638,792223.2,2021-07-23,2882108.0015999996
1626912000,3.426,3.581,3.5,3.567,891893.4,2021-07-22,3181383.7578000003
1626825600,3.208,3.573,3.26,3.503,1698722.2,2021-07-21,5950623.8666
1626739200,3.153,3.544,3.436,3.26,1867375.8,2021-07-20,6087645.108
1626652800,3.402,3.682,3.636,3.438,1382142.7,2021-07-19,4751806.6026
1626566400,3.559,3.775,3.657,3.635,749006.9,2021-07-18,2722640.0815
1626480000,3.581,3.779,3.653,3.659,1459121.5,2021-07-17,5338925.5685
1626393600,3.531,3.834,3.674,3.652,1462892.7,2021-07-16,5342484.1404
1626307200,3.559,3.918,3.797,3.671,1270239.1,2021-07-15,4663047.7361
1626220800,3.594,3.928,3.891,3.795,1921076.9,2021-07-14,7290486.835499999
1626134400,3.789,4.21,4.187,3.89,2386806.0,2021-07-13,9284675.34
1626048000,4.043,4.379,4.079,4.189,4002990.8,2021-07-12,16768528.461199999
1625961600,3.835,4.176,3.972,4.078,1849852.6,2021-07-11,7543698.902800001
1625875200,3.874,4.432,4.228,3.965,3557433.7,2021-07-10,14105224.6205
1625788800,3.458,4.309,3.597,4.224,4933922.1,2021-07-09,20840886.9504
1625702400,3.526,3.841,3.827,3.597,1310261.0,2021-07-08,4713008.817
1625616000,3.816,3.981,3.877,3.828,716177.8,2021-07-07,2741528.6184
1625529600,3.785,4.008,3.812,3.878,994270.7,2021-07-06,3855781.7746
1625443200,3.765,4.058,4.058,3.811,1148901.7,2021-07-05,4378464.378699999
1625356800,3.952,4.186,4.047,4.06,1036403.0,2021-07-04,4207796.18
1625270400,3.852,4.064,3.926,4.051,589527.2,2021-07-03,2388174.6872
1625184000,3.745,4.005,3.924,3.925,1167292.8,2021-07-02,4581624.24
1625097600,3.854,4.209,4.141,3.923,1301707.9,2021-07-01,5106600.0917
1625011200,3.834,4.301,4.13,4.143,2687507.2,2021-06-30,11134342.3296
1624924800,3.839,4.295,3.852,4.128,2026894.9,2021-06-29,8367022.1472
1624838400,3.689,3.945,3.78,3.851,1095190.6,2021-06-28,4217579.0006
1624752000,3.49,3.779,3.573,3.775,1190170.7,2021-06-27,4492894.3925
1624665600,3.353,3.657,3.53,3.572,1386634.3,2021-06-26,4953057.7196
1624579200,3.508,4.029,3.924,3.532,2089121.7,2021-06-25,7378777.8444
1624492800,3.521,3.929,3.674,3.923,2147951.2,2021-06-24,8426412.5576
1624406400,3.258,3.808,3.389,3.676,2702586.9,2021-06-23,9934709.4444
1624320000,3.038,3.762,3.52,3.389,7594620.7,2021-06-22,25738169.5523
1624233600,3.507,4.521,4.512,3.52,5260222.1,2021-06-21,18515981.792
1624147200,4.1,4.531,4.459,4.513,1680202.9,2021-06-20,7582755.6877
1624060800,4.451,4.701,4.554,4.462,980435.4,2021-06-19,4374702.7548
1623974400,4.406,4.893,4.873,4.561,1932218.2,2021-06-18,8812847.2102
1623888000,4.756,5.081,4.863,4.876,1197058.6,2021-06-17,5836857.733600001
1623801600,4.817,5.232,5.183,4.864,2035838.5,2021-06-16,9902318.464
1623715200,5.11,5.397,5.3,5.184,1629330.2,2021-06-15,8446447.7568
1623628800,4.955,5.325,5.095,5.301,1919325.8,2021-06-14,10174346.0658
1623542400,4.663,5.139,4.834,5.095,1768600.9,2021-06-13,9011021.585499998
1623456000,4.584,4.91,4.894,4.832,2526199.9,2021-06-12,12206597.9168
1623369600,4.857,5.393,5.084,4.915,2876185.5,2021-06-11,14136451.7325
1623283200,4.929,5.475,5.341,5.083,2596798.2,2021-06-10,13199525.2506
1623196800,4.776,5.405,5.052,5.342,4638039.8,2021-06-09,24776408.611599997
1623110400,4.5,5.257,5.189,5.054,7994010.1,2021-06-08,40401727.0454
1623024000,5.086,5.968,5.848,5.193,3069519.7,2021-06-07,15940015.802099999
1622937600,5.717,5.953,5.774,5.848,1151125.8,2021-06-06,6731783.678400001
1622851200,5.642,6.223,6.022,5.778,2135413.0,2021-06-05,12338416.314
1622764800,5.783,6.544,6.537,6.014,3004157.8,2021-06-04,18067005.0092
1622678400,6.229,6.7,6.369,6.537,2399621.4,2021-06-03,15686325.091799999
1622592000,6.088,6.545,6.316,6.371,2715484.3,2021-06-02,17300350.4753
1622505600,6.075,6.762,6.631,6.315,4341536.8,2021-06-01,27416804.892
1622419200,5.745,6.694,6.036,6.632,5984488.6,2021-05-31,39689128.3952
1622332800,5.546,6.379,6.036,6.036,7235651.8,2021-05-30,43674394.2648
1622246400,5.75,6.811,6.116,6.029,15102633.4,2021-05-29,91053776.7686
1622160000,5.839,7.072,7.025,6.118,17547567.7,2021-05-28,107356019.1886
1622073600,6.063,7.695,6.441,7.022,17236714.6,2021-05-27,121036209.9212
1621987200,5.547,6.521,5.698,6.445,10956947.7,2021-05-26,70617527.9265
1621900800,5.062,6.008,5.655,5.706,13431175.1,2021-05-25,76638285.1206
1621814400,4.179,5.654,4.301,5.654,13705614.2,2021-05-24,77491542.68679999
1621728000,3.58,5.331,5.109,4.304,10622178.1,2021-05-23,45717854.5424
1621641600,4.907,5.681,5.57,5.108,6786321.5,2021-05-22,34664530.221999995
1621555200,4.83,6.93,6.658,5.568,10786561.1,2021-05-21,60059572.204799995
1621468800,5.125,7.033,5.713,6.663,13271666.9,2021-05-20,88429116.5547
1621382400,4.146,9.484,9.332,5.698,23151922.2,2021-05-19,131919652.6956
1621296000,8.962,10.051,9.148,9.327,6564585.2,2021-05-18,61227886.1604
1621209600,8.622,10.139,10.121,9.147,11517344.6,2021-05-17,105349151.0562
1621123200,9.414,11.226,10.237,10.111,8266344.0,2021-05-16,83581004.184
1621036800,10.125,11.95,11.162,10.244,13060455.3,2021-05-15,133791304.0932
1620950400,10.518,11.68,10.61,11.163,9256494.2,2021-05-14,103330244.75459999
1620864000,9.443,11.95,10.361,10.615,17519998.3,2021-05-13,185974781.95450002
1620777600,10.151,14.9,14.512,10.349,24247011.4,2021-05-12,250932320.9786
1620691200,8.787,14.55,9.265,14.528,34230995.5,2021-05-11,497307902.624
1620604800,8.179,11.008,10.541,9.273,11961965.1,2021-05-10,110923302.3723
1620518400,9.127,11.109,10.36,10.539,9924361.1,2021-05-09,104592841.6329
1620432000,9.611,11.219,10.381,10.35,9872182.9,2021-05-08,102177093.015
1620345600,9.571,13.3,11.489,10.376,22687697.1,2021-05-07,235407545.1096
1620259200,8.422,12.894,8.736,11.491,34013788.7,2021-05-06,390852445.95170003
1620172800,6.215,8.842,6.337,8.728,15229712.9,2021-05-05,132924934.1912
1620086400,6.224,7.088,6.817,6.339,7561284.4,2021-05-04,47930981.81160001
1620000000,6.524,6.896,6.532,6.812,3452565.1,2021-05-03,23518873.461200003
1619913600,6.18,6.706,6.625,6.528,2413170.0,2021-05-02,15753173.76
1619827200,6.298,6.664,6.46,6.621,2272254.8,2021-05-01,15044599.0308
1619740800,5.789,6.468,5.9,6.457,3232937.1,2021-04-30,20875074.8547
1619654400,5.6,6.056,5.964,5.899,2262476.6,2021-04-29,13346349.4634
1619568000,5.691,6.23,6.065,5.961,3740130.2,2021-04-28,22294916.1222
1619481600,5.752,6.114,5.866,6.065,3488042.0,2021-04-27,21154974.73
1619395200,4.93,5.908,5.005,5.873,4957899.5,2021-04-26,29117743.7635
1619308800,4.62,5.464,5.094,5.0,3927581.1,2021-04-25,19637905.5
1619222400,5.038,5.599,5.582,5.094,3131401.1,2021-04-24,15951357.2034
1619136000,4.477,5.996,5.858,5.582,10063725.2,2021-04-23,56175714.06639999
1619049600,5.6,6.823,6.322,5.857,5948424.6,2021-04-22,34839922.8822
1618963200,6.238,6.893,6.7,6.32,3407555.2,2021-04-21,21535748.864000004
1618876800,6.067,6.859,6.612,6.701,4910458.2,2021-04-20,32904980.398199998
1618790400,6.492,7.5,7.299,6.601,5567466.4,2021-04-19,36750845.7064
1618704000,5.986,7.945,7.789,7.301,11587720.0,2021-04-18,84601943.72
1618617600,7.598,8.852,8.511,7.789,6771779.1,2021-04-17,52745387.409899995
1618531200,7.076,8.75,7.894,8.507,13353832.2,2021-04-16,113601050.52539998
1618444800,7.283,7.931,7.677,7.886,3643587.3,2021-04-15,28733329.4478
1618358400,7.043,8.088,7.384,7.676,9657984.2,2021-04-14,74134686.7192
1618272000,6.417,7.549,6.473,7.384,6131067.9,2021-04-13,45271805.373600006
1618185600,6.291,6.858,6.736,6.476,3049104.5,2021-04-12,19746000.742
1618099200,6.549,7.053,6.615,6.725,4384677.7,2021-04-11,29486957.5325
1618012800,6.15,6.757,6.206,6.615,3927362.1,2021-04-10,25979500.291500002
1617926400,6.07,6.596,6.445,6.204,3251318.1,2021-04-09,20171177.492399998
1617840000,5.802,6.469,5.888,6.445,3997799.8,2021-04-08,25765819.711
1617753600,5.726,7.046,6.648,5.886,9311438.1,2021-04-07,54807124.6566
1617667200,6.193,7.086,6.7,6.645,7461249.2,2021-04-06,49580000.934
1617580800,5.833,7.071,6.288,6.694,9658282.7,2021-04-05,64652544.3938
1617494400,5.335,6.303,5.414,6.283,4619599.5,2021-04-04,29024943.6585
1617408000,5.201,6.484,6.255,5.414,8519728.0,2021-04-03,46125807.392
1617321600,5.366,6.356,5.593,6.257,9117767.9,2021-04-02,57049873.7503
1617235200,4.707,5.982,4.807,5.592,10832864.3,2021-04-01,60577377.1656
