unix,low,high,open,close,volume,date,vol_fiat
1629158400,3143.93,3162.4,3143.93,3149.57,48.58419454,2021-08-17,153019.3215973478
1629072000,3133.51,3335.73,3311.13,3145.39,7412.8632269,2021-08-16,23316345.86525899
1628985600,3111.12,3320.92,3263.52,3309.3,7845.81747804,2021-08-15,25964163.780077774
1628899200,3204.81,3333.62,3327.65,3263.87,4765.70876342,2021-08-14,15554653.861663634
1628812800,3033.85,3328.51,3048.2,3322.43,6245.35730482,2021-08-13,20749762.47025311
1628726400,2980.65,3238.82,3157.06,3046.85,26503.18233364,2021-08-12,80751221.09325103
1628640000,3121.37,3274.01,3141.6,3160.49,5772.01983892,2021-08-11,18242410.98070827
1628553600,3051.12,3232.0,3160.89,3142.37,8140.0316498,2021-08-10,25578991.255382027
1628467200,2892.85,3186.48,3012.21,3163.49,9561.30538307,2021-08-09,30247093.96628811
1628380800,2948.52,3189.55,3158.47,3012.95,8007.63819302,2021-08-08,24126613.493659608
1628294400,2864.97,3171.35,2891.42,3158.4,11986.40026829,2021-08-07,37857846.60736714
1628208000,2721.3,2947.33,2829.15,2891.53,6639.18631727,2021-08-06,19197406.411975723
1628121600,2532.67,2843.59,2727.62,2827.68,10686.53188216,2021-08-05,30218092.472546186
1628035200,2457.86,2770.06,2508.5,2726.71,7120.2993699,2021-08-04,19414991.49490003
1627948800,2442.11,2630.77,2602.3,2508.55,5249.96091818,2021-08-03,13169789.461300438
1627862400,2506.75,2665.79,2554.66,2605.29,5130.71439052,2021-08-02,13366998.89447785
1627776000,2512.63,2697.8,2534.19,2555.23,4514.61402285,2021-08-01,11535877.189607006
1627689600,2421.65,2553.41,2463.06,2529.69,2889.54239059,2021-07-31,7309646.490051618
1627603200,2317.34,2471.12,2388.55,2462.92,4867.35802735,2021-07-30,11987913.432720862
1627516800,2267.24,2402.39,2300.69,2387.04,3672.60214887,2021-07-29,8766648.233438645
1627430400,2244.02,2344.59,2298.66,2300.15,6012.71056367,2021-07-28,13830136.203025552
1627344000,2150.41,2319.34,2226.64,2302.76,7974.60335417,2021-07-27,18363597.619848512
1627257600,2171.96,2432.16,2190.7,2229.2,14384.54197435,2021-07-26,32066020.96922102
1627171200,2107.6,2196.26,2185.44,2189.34,3059.99294475,2021-07-25,6699364.953658965
1627084800,2106.84,2198.34,2129.9,2184.7,3640.68216225,2021-07-24,7953798.319867575
1626998400,1995.75,2130.41,2025.43,2126.6,3716.01053578,2021-07-23,7902468.005389747
1626912000,1947.23,2045.85,1995.51,2026.56,5365.41927813,2021-07-22,10873344.092287133
1626825600,1754.57,2031.81,1787.35,1995.99,8528.4495963,2021-07-21,17022700.10971884
1626739200,1719.72,1840.58,1816.55,1786.39,6393.0929377,2021-07-20,11420557.292977905
1626652800,1805.0,1918.01,1891.27,1818.06,3697.79617345,2021-07-19,6722815.311102507
1626566400,1879.08,1993.27,1901.47,1890.63,3609.9368429,2021-07-18,6825054.8932920275
1626480000,1845.69,1918.95,1875.85,1901.36,2554.38090912,2021-07-17,4856797.685364403
1626393600,1850.0,1964.95,1920.75,1875.75,2938.37860453,2021-07-16,5511663.667447147
1626307200,1881.85,2040.0,1996.5,1918.13,3741.35136037,2021-07-15,7176398.284866508
1626220800,1865.3,2019.69,1941.79,1993.18,4735.73173708,2021-07-14,9439165.783713115
1626134400,1917.53,2046.1,2031.55,1941.61,4106.69493171,2021-07-13,7973599.946357452
1626048000,2007.73,2168.14,2139.37,2031.67,3156.32055943,2021-07-12,6412601.790977148
1625961600,2082.01,2173.27,2115.4,2140.87,1748.10397001,2021-07-11,3742463.3462753086
1625875200,2075.0,2192.17,2146.78,2114.16,2891.12177733,2021-07-10,6112294.016759993
1625788800,2049.0,2188.04,2115.03,2147.79,5701.02706549,2021-07-09,12244608.920988766
1625702400,2085.72,2325.39,2314.49,2115.13,7055.91450023,2021-07-08,14924176.43687148
1625616000,2293.69,2408.75,2319.47,2316.5,3921.5335456,2021-07-07,9084232.4583824
