unix,low,high,open,close,volume,date,vol_fiat
1629158400,177.34,179.22,177.93,178.36,847.50041035,2021-08-17,151160.17319002602
1629072000,176.65,189.12,184.76,177.94,267171.38421808,2021-08-16,47540476.10776516
1628985600,175.35,186.65,182.92,184.76,223341.65253993,2021-08-15,41264603.723277465
1628899200,174.82,185.11,183.43,182.98,224239.1107917,2021-08-14,41031272.49266526
1628812800,163.95,184.7,165.53,183.42,328321.12334418,2021-08-13,60220660.44378949
1628726400,160.83,179.79,170.72,165.51,276424.08981661,2021-08-12,45750951.105547115
1628640000,164.3,176.1,165.45,170.79,263494.03534489,2021-08-11,45002146.29655377
1628553600,158.86,168.42,166.31,165.43,233705.00596673,2021-08-10,38661819.13707615
1628467200,145.36,171.0,149.81,166.42,376807.81327687,2021-08-09,62708356.2855367
1628380800,147.09,157.72,156.06,149.88,188841.77994737,2021-08-08,28303605.978511814
1628294400,147.2,156.53,148.06,156.05,208133.59909119,2021-08-07,32479248.138180204
1628208000,141.95,150.96,143.6,148.09,217727.61633752,2021-08-06,32243282.70342334
1628121600,136.25,145.25,142.54,143.59,196551.82944498,2021-08-05,28222877.190004677
1628035200,135.54,144.5,138.47,142.54,147775.74279442,2021-08-04,21063954.377916623
1627948800,135.69,143.26,141.35,138.48,123513.48539737,2021-08-03,17104147.457827795
1627862400,138.81,145.91,140.31,141.36,183456.98787082,2021-08-02,25933479.80541912
1627776000,138.14,149.87,144.46,140.28,187796.35302912,2021-08-01,26344072.40292495
1627689600,141.95,146.68,145.61,144.43,130109.55881696,2021-07-31,18791723.57993353
1627603200,135.92,145.93,141.57,145.62,192035.3875036,2021-07-30,27964193.128274236
1627516800,136.63,143.0,140.48,141.52,177678.6190261,2021-07-29,25145078.164573673
1627430400,132.43,142.07,134.75,140.47,286528.35863658,2021-07-28,40248638.537680395
1627344000,127.43,135.19,131.09,134.74,247001.59531521,2021-07-27,33280994.952771395
1627257600,127.03,140.43,127.74,131.11,359541.42055543,2021-07-26,47139475.64902243
1627171200,123.62,128.12,126.09,127.75,127952.25500464,2021-07-25,16345900.57684276
1627084800,123.37,127.82,124.3,126.12,135389.55116175,2021-07-24,17075330.19251991
1626998400,117.06,125.06,120.74,124.28,118715.13081923,2021-07-23,14753916.458213905
1626912000,115.63,122.1,117.77,120.74,121783.80561523,2021-07-22,14704176.689982869
1626825600,105.08,119.22,107.3,117.83,203854.10068571,2021-07-21,24020128.68379721
1626739200,103.88,115.06,113.2,107.3,248413.40790394,2021-07-20,26654758.66809276
1626652800,111.84,120.71,119.2,113.17,135210.96479477,2021-07-19,15301824.885824122
1626566400,116.37,124.1,120.04,119.13,103714.04776396,2021-07-18,12355454.510120554
1626480000,117.73,122.95,120.71,120.02,108808.45494968,2021-07-17,13059190.763060594
1626393600,120.44,127.82,125.92,120.68,130554.60380952,2021-07-16,15755329.587732876
1626307200,121.95,133.07,131.02,125.79,134766.97391234,2021-07-15,16952337.64843325
1626220800,123.86,132.39,131.43,131.02,121965.85575187,2021-07-14,15979966.420610009
1626134400,129.56,134.62,133.37,131.44,110477.99630521,2021-07-13,14521227.834356803
1626048000,131.65,139.65,134.29,133.37,153652.48151648,2021-07-12,20492631.45985294
1625961600,132.13,136.44,134.03,134.26,82591.45115304,2021-07-11,11088728.23180715
1625875200,130.36,136.86,134.61,134.01,72257.74705853,2021-07-10,9683260.683313604
1625788800,126.08,135.8,132.12,134.61,117814.52726038,2021-07-09,15859013.514519753
1625702400,127.9,137.81,137.47,132.1,156854.0714377,2021-07-08,20720422.836920172
1625616000,137.01,142.98,138.88,137.42,138259.73409181,2021-07-07,18999652.65889653
1625529600,135.7,142.73,137.82,138.89,115797.14308462,2021-07-06,16083065.20302287
1625443200,134.17,145.0,144.99,137.82,135617.38733173,2021-07-05,18690788.322059024
1625356800,136.89,148.0,140.22,144.94,91406.59332627,2021-07-04,13248471.636709573
1625270400,134.55,141.41,136.9,140.19,93221.36532276,2021-07-03,13068703.204597725
1625184000,130.6,139.0,137.04,136.91,146111.40635382,2021-07-02,20004112.643901497
1625097600,134.15,144.43,144.42,137.16,192826.49456614,2021-07-01,26448081.994691763
1625011200,136.09,146.94,144.19,144.36,206466.49305394,2021-06-30,29805502.937266782
1624924800,137.25,149.26,137.71,144.18,275539.07107194,2021-06-29,39727223.26715231
1624838400,129.92,139.6,132.64,137.69,225524.84307114,2021-06-28,31052515.642465267
1624752000,124.61,132.7,126.76,132.67,193643.31291421,2021-06-27,25690658.324328236
1624665600,118.71,129.37,124.97,126.81,198924.10641412,2021-06-26,25225565.93437456
1624579200,124.34,138.45,134.54,125.0,254565.43654921,2021-06-25,31820679.568651248
1624492800,123.77,137.4,129.22,134.53,242359.68933728,2021-06-24,32604649.006544277
1624406400,115.55,133.76,119.78,129.2,413114.72978183,2021-06-23,53374423.08781243
1624320000,105.0,133.02,124.4,119.83,839987.08795346,2021-06-22,100655652.74946311
1624233600,124.02,155.45,154.88,124.45,557738.04469492,2021-06-21,69410499.6622828
1624147200,143.81,156.2,152.58,154.87,226491.35195946,2021-06-20,35076715.67796157
1624060800,152.36,160.88,156.44,152.53,157026.56276912,2021-06-19,23951261.619173873
1623974400,151.11,167.39,167.18,156.41,283531.28366186,2021-06-18,44347128.07755152
1623888000,162.88,173.4,166.58,167.18,185436.80156591,2021-06-17,31001324.485788833
1623801600,164.39,177.34,175.2,166.61,239436.79038648,2021-06-16,39892563.646291435
1623715200,172.18,181.26,179.98,175.15,189931.66986973,2021-06-15,33266531.97768321
1623628800,166.33,180.18,170.92,180.02,282734.13846732,2021-06-14,50897799.60688695
1623542400,156.54,171.73,161.86,171.02,222849.92611976,2021-06-13,38111794.36500136
1623456000,154.23,164.36,162.88,161.85,208418.73974157,2021-06-12,33732573.0271731
1623369600,160.58,173.76,168.46,162.9,287615.08357665,2021-06-11,46852497.11463629
1623283200,162.21,174.69,172.69,168.38,256216.55327818,2021-06-10,43141743.24097995
1623196800,152.46,173.33,160.73,172.57,423830.19206403,2021-06-09,73140376.24448965
1623110400,145.0,164.58,161.98,160.76,543709.07566951,2021-06-08,87406671.00463043
1623024000,160.25,182.25,176.38,161.98,314008.9197124,2021-06-07,50863164.81501455
1622937600,171.82,180.06,173.01,176.38,209323.8511947,2021-06-06,36920540.87372118
1622851200,167.67,185.49,178.62,173.07,246503.77870196,2021-06-05,42662408.979948215
1622764800,169.18,193.8,193.55,178.63,328026.48373818,2021-06-04,58595370.7901511
1622678400,182.03,197.67,187.19,193.58,301137.16583651,2021-06-03,58294132.562631615
1622592000,178.37,191.27,183.0,187.27,281546.76040403,2021-06-02,52725261.820862696
1622505600,175.98,193.28,188.05,182.98,382106.93051135,2021-06-01,69917926.14496681
1622419200,163.7,188.5,170.63,188.05,518731.03985268,2021-05-31,97547372.04429647
1622332800,155.28,181.2,164.15,170.72,538593.33961416,2021-05-30,91948654.9389294
1622246400,157.7,188.72,177.48,164.12,677430.24009038,2021-05-29,111179851.00363316
1622160000,165.5,198.92,194.42,177.41,781738.26731908,2021-05-28,138688186.00507796
1622073600,180.61,208.98,199.26,194.41,562897.02697085,2021-05-27,109432811.01340294
1621987200,179.39,204.48,183.95,199.18,636113.9456062,2021-05-26,126701175.68584293
1621900800,167.41,194.89,185.56,184.09,802237.79921507,2021-05-25,147683956.45750225
1621814400,139.86,185.57,142.73,185.42,1066742.10807403,2021-05-24,197795321.67908663
1621728000,117.58,176.51,169.47,142.72,1313910.78805244,2021-05-23,187521347.67084423
1621641600,161.88,184.82,180.33,169.48,662128.28498101,2021-05-22,112217501.73858157
1621555200,156.94,219.79,211.15,180.23,1305376.26817431,2021-05-21,235267964.81305587
1621468800,166.95,232.99,186.65,211.11,1469920.08172847,2021-05-20,310314828.4536973
1621382400,145.26,300.49,294.13,186.65,1979517.3125512,2021-05-19,369476906.3876815
1621296000,278.49,318.43,281.5,294.13,715600.39391922,2021-05-18,210479543.86346015
1621209600,261.37,296.76,296.22,281.6,824472.30656581,2021-05-17,232171401.52893212
1621123200,279.38,324.19,300.11,296.11,549651.96819741,2021-05-16,162757444.3029351
1621036800,296.52,332.01,326.52,300.18,508796.27016044,2021-05-15,152730464.37676087
1620950400,308.46,339.62,318.3,326.67,491773.70377342,2021-05-14,160647715.81166312
1620864000,291.0,336.0,310.9,318.41,1055462.1029788,2021-05-13,336069688.20947975
1620777600,301.0,394.46,378.16,310.91,1038052.41132146,2021-05-12,322740875.2039552
1620691200,345.33,379.87,359.35,378.16,650613.25265649,2021-05-11,246035907.62457827
1620604800,336.21,413.91,388.13,359.41,1162589.27791832,2021-05-10,417846212.3766234
1620518400,334.0,389.65,347.75,388.3,687149.21256321,2021-05-09,266820039.23829448
1620432000,334.97,357.0,345.27,347.72,459286.23059221,2021-05-08,159703008.10152328
1620345600,333.55,372.88,354.52,345.25,820059.10109328,2021-05-07,283125404.6524549
1620259200,320.0,365.2,356.5,354.44,906905.51076159,2021-05-06,321443589.2343379
1620172800,300.98,360.0,305.43,356.43,1281044.26297317,2021-05-05,456602606.651527
1620086400,271.03,327.91,294.91,305.5,1214734.86336712,2021-05-04,371101500.7586552
1620000000,268.64,299.71,269.1,294.91,550293.67954926,2021-05-03,162287109.03587225
