unix,low,high,open,close,volume,date,vol_fiat
1629158400,27.72,27.72,27.72,27.72,18.254479,2021-08-17,506.01415787999997
1629072000,27.72,28.5,28.08,27.72,26076.204722,2021-08-16,722832.39489384
1628985600,27.6,28.38,28.38,28.16,17575.457647,2021-08-15,494924.88733952
1628899200,27.68,30.46,28.75,28.44,50407.474309,2021-08-14,1433588.56934796
1628812800,27.0,28.87,27.07,28.75,14493.461794,2021-08-13,416687.02657750004
1628726400,26.3,28.63,28.29,27.07,21715.62936,2021-08-12,587842.0867752
1628640000,27.6,29.28,28.69,28.35,49395.994214,2021-08-11,1400376.4359669
1628553600,26.98,29.0,27.51,28.68,27396.682342,2021-08-10,785736.84956856
1628467200,25.51,27.8,26.64,27.55,32704.731022,2021-08-09,901015.3396561
1628380800,26.57,29.89,27.19,26.67,92098.554404,2021-08-08,2456268.44595468
1628294400,26.64,27.85,26.69,27.24,30932.524715,2021-08-07,842601.9732365999
1628208000,26.51,27.25,26.68,26.69,17041.988646,2021-08-06,454850.6769617401
1628121600,26.04,27.04,27.04,26.68,18109.138872,2021-08-05,483151.82510496
1628035200,26.01,27.1,26.14,27.04,16371.319272,2021-08-04,442680.47311488
1627948800,26.0,27.25,26.93,26.15,11906.507803,2021-08-03,311355.17904844997
1627862400,26.73,31.0,26.9,27.01,104919.920482,2021-08-02,2833887.05221882
1627776000,26.9,27.51,27.38,26.9,18323.319059,2021-08-01,492897.2826871
1627689600,26.56,27.77,27.16,27.37,30724.178568,2021-07-31,840920.76740616
1627603200,26.1,27.16,26.43,27.16,25259.926779,2021-07-30,686059.61131764
1627516800,26.13,26.96,26.93,26.43,19330.715109,2021-07-29,510910.80033087
1627430400,26.46,28.78,27.67,26.93,37039.20812,2021-07-28,997465.8746716001
1627344000,25.27,29.35,28.79,27.66,64521.13616,2021-07-27,1784654.6261856
1627257600,27.8,32.48,31.42,28.9,167302.283917,2021-07-26,4835036.0052013
1627171200,26.26,34.0,27.01,31.43,404761.332473,2021-07-25,12721648.67962639
1627084800,19.33,27.5,19.48,26.95,243956.063017,2021-07-24,6574615.8983081505
1626998400,19.1,19.57,19.22,19.47,5851.628391,2021-07-23,113931.20477277
1626912000,18.81,19.6,19.17,19.23,14701.127161,2021-07-22,282702.67530603
1626825600,17.65,19.7,18.01,19.17,18181.700925,2021-07-21,348543.20673225005
1626739200,17.63,19.82,19.04,17.93,35661.948237,2021-07-20,639418.73188941
1626652800,19.0,19.48,19.19,19.07,15097.978807,2021-07-19,287918.45584949
1626566400,19.05,21.43,19.92,19.19,38069.55217,2021-07-18,730554.7061423002
1626480000,19.65,24.0,20.91,19.92,80651.021029,2021-07-17,1606568.3388976802
1626393600,18.92,22.2,19.44,20.94,98813.550367,2021-07-16,2069155.7446849803
1626307200,18.42,19.85,18.8,19.39,27342.444411,2021-07-15,530169.99712929
1626220800,18.33,21.34,19.71,18.8,67186.774563,2021-07-14,1263111.3617844
1626134400,19.12,20.23,19.19,19.6,25541.725815,2021-07-13,500617.8259740001
1626048000,19.12,20.42,20.16,19.25,15787.549592,2021-07-12,303910.329646
1625961600,19.75,22.26,19.89,20.2,51283.645007,2021-07-11,1035929.6291414
1625875200,19.77,20.39,20.05,19.89,9704.795619,2021-07-10,193028.38486191002
1625788800,19.8,20.31,20.11,20.02,17245.459885,2021-07-09,345254.1068977
1625702400,19.85,21.07,21.07,20.11,24975.724113,2021-07-08,502261.81191243
1625616000,20.42,21.79,20.77,21.07,33064.276402,2021-07-07,696664.3037901401
1625529600,20.1,21.74,21.01,20.74,29877.150527,2021-07-06,619652.10192998
1625443200,20.05,21.96,21.51,21.01,21242.831185,2021-07-05,446311.88319685
1625356800,21.16,24.0,21.27,21.57,137251.558932,2021-07-04,2960516.1261632405
1625270400,21.08,22.84,21.72,21.27,40612.332063,2021-07-03,863824.30298001
1625184000,20.51,23.93,22.79,21.64,74604.416684,2021-07-02,1614439.5770417599
1625097600,22.5,26.5,25.88,22.8,135259.218395,2021-07-01,3083910.1794060003
1625011200,20.18,32.0,20.23,25.75,470793.712274,2021-06-30,12122938.0910555
1624924800,18.56,20.61,19.1,20.24,19424.018149,2021-06-29,393142.12733576
1624838400,18.0,20.83,19.53,19.1,45040.528362,2021-06-28,860274.0917142
1624752000,17.5,21.89,17.5,19.53,44640.686116,2021-06-27,871832.5998454799
1624665600,17.14,17.76,17.7,17.5,7811.64924,2021-06-26,136703.8617
1624579200,17.45,18.99,18.68,17.69,12126.315582,2021-06-25,214514.52264558
1624492800,17.65,18.94,18.07,18.68,12438.959186,2021-06-24,232359.75759448
1624406400,16.71,18.84,17.05,18.01,17511.91265,2021-06-23,315389.5468265
1624320000,15.02,18.47,17.68,17.05,41009.516532,2021-06-22,699212.2568706
1624233600,17.64,21.49,21.2,17.76,27646.205919,2021-06-21,490996.61712144007
1624147200,20.31,21.48,21.4,21.21,17507.868088,2021-06-20,371341.88214648
1624060800,21.18,22.37,22.07,21.4,17692.937095,2021-06-19,378628.853833
1623974400,21.51,25.24,23.46,22.09,53593.758271,2021-06-18,1183886.12020639
1623888000,23.26,25.08,23.57,23.46,19898.743894,2021-06-17,466824.53175324
1623801600,23.5,25.48,25.47,23.55,15207.000347,2021-06-16,358124.85817185
1623715200,24.93,26.35,25.09,25.44,14506.781884,2021-06-15,369052.53112896
1623628800,24.31,26.6,25.11,25.08,30370.682426,2021-06-14,761696.7152440799
1623542400,23.13,26.21,23.67,25.12,28342.552274,2021-06-13,711964.91312288
1623456000,23.49,24.43,24.23,23.72,12177.840743,2021-06-12,288858.38242396
1623369600,24.2,26.39,26.24,24.24,18266.404028,2021-06-11,442777.63363871997
1623283200,25.08,27.88,26.84,26.27,24334.4415,2021-06-10,639265.778205
1623196800,25.0,27.99,26.18,26.83,32598.875524,2021-06-09,874627.8303089199
1623110400,24.36,28.82,27.56,26.03,62416.862,2021-06-08,1624710.9178600002
1623024000,27.42,29.68,28.92,27.55,17998.442132,2021-06-07,495857.08073660004
