Categoria: Todas as categorias

Semana,Bitcoin: (Estados Unidos)
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,2
2016-10-09,2
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,3
2016-12-25,3
2017-01-01,5
2017-01-08,4
2017-01-15,3
2017-01-22,3
2017-01-29,3
2017-02-05,3
2017-02-12,3
2017-02-19,3
2017-02-26,4
2017-03-05,4
2017-03-12,3
2017-03-19,4
2017-03-26,3
2017-04-02,3
2017-04-09,3
2017-04-16,3
2017-04-23,3
2017-04-30,5
2017-05-07,6
2017-05-14,7
2017-05-21,13
2017-05-28,8
2017-06-04,8
2017-06-11,9
2017-06-18,7
2017-06-25,7
2017-07-02,5
2017-07-09,6
2017-07-16,8
2017-07-23,7
2017-07-30,8
2017-08-06,9
2017-08-13,13
2017-08-20,10
2017-08-27,10
2017-09-03,10
2017-09-10,12
2017-09-17,9
2017-09-24,8
2017-10-01,7
2017-10-08,11
2017-10-15,12
2017-10-22,12
2017-10-29,18
2017-11-05,18
2017-11-12,20
2017-11-19,18
2017-11-26,49
2017-12-03,73
2017-12-10,69
2017-12-17,77
2017-12-24,46
2017-12-31,35
2018-01-07,33
2018-01-14,41
2018-01-21,27
2018-01-28,28
2018-02-04,34
2018-02-11,18
2018-02-18,16
2018-02-25,13
2018-03-04,13
2018-03-11,14
2018-03-18,12
2018-03-25,12
2018-04-01,12
2018-04-08,11
2018-04-15,9
2018-04-22,10
2018-04-29,8
2018-05-06,9
2018-05-13,8
2018-05-20,8
2018-05-27,7
2018-06-03,6
2018-06-10,9
2018-06-17,8
2018-06-24,8
2018-07-01,7
2018-07-08,7
2018-07-15,8
2018-07-22,9
2018-07-29,7
2018-08-05,8
2018-08-12,8
2018-08-19,7
2018-08-26,7
2018-09-02,7
2018-09-09,6
2018-09-16,6
2018-09-23,5
2018-09-30,5
2018-10-07,5
2018-10-14,5
2018-10-21,4
2018-10-28,4
2018-11-04,4
2018-11-11,6
2018-11-18,9
2018-11-25,9
2018-12-02,8
2018-12-09,7
2018-12-16,8
2018-12-23,7
2018-12-30,5
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,4
2019-02-03,5
2019-02-10,4
2019-02-17,5
2019-02-24,5
2019-03-03,4
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,8
2019-04-07,6
2019-04-14,5
2019-04-21,6
2019-04-28,5
2019-05-05,8
2019-05-12,13
2019-05-19,9
2019-05-26,10
2019-06-02,8
2019-06-09,6
2019-06-16,12
2019-06-23,19
2019-06-30,11
2019-07-07,11
2019-07-14,10
2019-07-21,8
2019-07-28,7
2019-08-04,9
2019-08-11,8
2019-08-18,7
2019-08-25,37
2019-09-01,100
2019-09-08,60
2019-09-15,50
2019-09-22,28
2019-09-29,6
2019-10-06,5
2019-10-13,5
2019-10-20,6
2019-10-27,6
2019-11-03,5
2019-11-10,5
2019-11-17,6
2019-11-24,6
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,5
2020-01-26,6
2020-02-02,6
2020-02-09,7
2020-02-16,7
2020-02-23,7
2020-03-01,6
2020-03-08,11
2020-03-15,11
2020-03-22,8
2020-03-29,6
2020-04-05,7
2020-04-12,6
2020-04-19,6
2020-04-26,9
2020-05-03,10
2020-05-10,12
2020-05-17,8
2020-05-24,7
2020-05-31,7
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,6
2020-07-12,7
2020-07-19,6
2020-07-26,10
2020-08-02,9
2020-08-09,8
2020-08-16,8
2020-08-23,6
2020-08-30,7
2020-09-06,6
2020-09-13,5
2020-09-20,5
2020-09-27,5
2020-10-04,5
2020-10-11,5
2020-10-18,8
2020-10-25,9
2020-11-01,9
2020-11-08,9
2020-11-15,15
2020-11-22,16
2020-11-29,14
2020-12-06,11
2020-12-13,19
2020-12-20,18
2020-12-27,27
2021-01-03,43
2021-01-10,42
2021-01-17,26
2021-01-24,26
2021-01-31,22
2021-02-07,38
2021-02-14,36
2021-02-21,40
2021-02-28,26
2021-03-07,25
2021-03-14,25
2021-03-21,22
2021-03-28,21
2021-04-04,18
2021-04-11,26
2021-04-18,32
2021-04-25,22
2021-05-02,21
2021-05-09,29
2021-05-16,42
2021-05-23,31
2021-05-30,22
2021-06-06,24
2021-06-13,18
2021-06-20,23
2021-06-27,15
2021-07-04,13
2021-07-11,13
2021-07-18,15
2021-07-25,18
2021-08-01,14
2021-08-08,16
2021-08-15,14
2021-08-22,13
