"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","2,455200","2,441300","2,579800","2,372500","619,19M","0,68%"
"19.08.2021","2,438600","2,105300","2,452600","2,046200","661,59M","15,52%"
"18.08.2021","2,110900","1,923500","2,161600","1,878700","486,27M","9,64%"
"17.08.2021","1,925300","2,071600","2,141400","1,912900","361,61M","-7,12%"
"16.08.2021","2,072900","2,166700","2,196800","2,048400","313,64M","-4,35%"
"15.08.2021","2,167200","2,192100","2,249500","2,032200","370,24M","-0,97%"
"14.08.2021","2,188400","2,142000","2,249100","2,087100","599,34M","2,40%"
"13.08.2021","2,137100","1,834500","2,147600","1,824400","590,19M","16,71%"
"12.08.2021","1,831100","1,793600","1,866800","1,680800","431,55M","1,85%"
"11.08.2021","1,797800","1,677900","1,892800","1,670100","488,91M","7,22%"
"10.08.2021","1,676800","1,474100","1,699300","1,457500","356,41M","13,72%"
"09.08.2021","1,474500","1,425400","1,498800","1,394700","204,39M","3,38%"
"08.08.2021","1,426300","1,472700","1,494100","1,407600","201,11M","-3,25%"
"07.08.2021","1,474200","1,403000","1,484500","1,396000","245,58M","5,20%"
"06.08.2021","1,401300","1,386900","1,424100","1,362300","165,38M","1,12%"
"05.08.2021","1,385800","1,376500","1,397300","1,339500","160,77M","0,71%"
"04.08.2021","1,376000","1,369800","1,393100","1,323900","183,10M","0,50%"
"03.08.2021","1,369100","1,308100","1,382300","1,262500","250,19M","4,64%"
"02.08.2021","1,308400","1,314300","1,349300","1,296000","124,76M","-0,62%"
"01.08.2021","1,316600","1,319400","1,386900","1,300000","201,23M","-0,02%"
"31.07.2021","1,316800","1,310800","1,332200","1,290200","121,88M","0,59%"
"30.07.2021","1,309100","1,285700","1,317100","1,249500","181,56M","1,84%"
"29.07.2021","1,285500","1,286000","1,298700","1,258400","130,91M","-0,12%"
"28.07.2021","1,287000","1,279200","1,316900","1,259500","201,22M","0,52%"
"27.07.2021","1,280400","1,254600","1,315200","1,214800","232,91M","2,02%"
"26.07.2021","1,255100","1,228800","1,398600","1,222800","415,11M","2,17%"
"25.07.2021","1,228500","1,217800","1,229000","1,191300","107,90M","1,09%"
"24.07.2021","1,215200","1,210400","1,225100","1,198300","141,81M","0,64%"
"23.07.2021","1,207500","1,183900","1,207500","1,147000","131,31M","1,82%"
"22.07.2021","1,185900","1,168600","1,205200","1,150400","158,93M","1,38%"
"21.07.2021","1,169800","1,052900","1,221500","1,037500","287,29M","10,87%"
"20.07.2021","1,055100","1,122800","1,134300","1,021000","283,62M","-5,88%"
"19.07.2021","1,121000","1,181900","1,190400","1,116600","138,63M","-5,15%"
"18.07.2021","1,181900","1,171400","1,218200","1,168700","108,59M","0,88%"
"17.07.2021","1,171600","1,169600","1,194400","1,150800","124,47M","-0,01%"
"16.07.2021","1,171700","1,225800","1,244500","1,165800","159,24M","-4,37%"
"15.07.2021","1,225200","1,263700","1,289100","1,206200","133,47M","-3,00%"
"14.07.2021","1,263100","1,266000","1,288200","1,199100","165,48M","-0,15%"
"13.07.2021","1,265000","1,312800","1,320800","1,250200","125,02M","-3,69%"
"12.07.2021","1,313400","1,349400","1,373200","1,292300","112,07M","-2,55%"
"11.07.2021","1,347800","1,338900","1,366400","1,323200","71,71M","0,91%"
"10.07.2021","1,335600","1,348900","1,365600","1,319300","93,48M","-1,04%"
"09.07.2021","1,349700","1,294600","1,372100","1,290400","160,41M","1,28%"
"08.07.2021","1,332700","1,402800","1,406200","1,331100","174,99M","-5,07%"
"07.07.2021","1,403900","1,414900","1,439900","1,400200","125,17M","-0,70%"
"06.07.2021","1,413800","1,404500","1,453600","1,404500","185,50M","0,69%"
"05.07.2021","1,404100","1,456500","1,456500","1,393600","210,28M","-3,93%"
"04.07.2021","1,461500","1,436800","1,481900","1,432900","185,33M","2,87%"
"03.07.2021","1,420700","1,396400","1,430700","1,361600","198,14M","1,78%"
"02.07.2021","1,395800","1,331000","1,395800","1,289200","235,42M","4,69%"
"01.07.2021","1,333300","1,383800","1,383800","1,313000","196,84M","-3,66%"
"30.06.2021","1,383900","1,372700","1,383900","1,302000","263,77M","0,85%"
"29.06.2021","1,372300","1,326500","1,408600","1,326500","287,56M","3,58%"
"28.06.2021","1,324900","1,341600","1,341600","1,312200","220,83M","-0,75%"
"27.06.2021","1,334900","1,251700","1,334900","1,249800","242,12M","6,66%"
"26.06.2021","1,251600","1,254800","1,280400","1,207800","307,45M","-0,26%"
"25.06.2021","1,254800","1,363600","1,389200","1,254800","548,26M","-7,53%"
"24.06.2021","1,357000","1,249800","1,389500","1,220500","426,97M","8,52%"
"23.06.2021","1,250500","1,149600","1,277700","1,149600","490,51M","8,22%"
"22.06.2021","1,155500","1,178700","1,243500","1,059400","907,34M","-1,70%"
"21.06.2021","1,175500","1,426600","1,426600","1,175500","512,03M","-17,64%"
"20.06.2021","1,427300","1,383600","1,452300","1,339900","269,34M","2,89%"
"19.06.2021","1,387200","1,416000","1,433600","1,387200","145,45M","-1,79%"
"18.06.2021","1,412500","1,481000","1,485000","1,397100","220,96M","-4,62%"
"17.06.2021","1,480900","1,485100","1,536500","1,466100","165,14M","-0,18%"
"16.06.2021","1,483600","1,554400","1,569600","1,483600","203,49M","-4,70%"
"15.06.2021","1,556800","1,576700","1,591300","1,551500","216,17M","-1,20%"
"14.06.2021","1,575700","1,558200","1,575700","1,524300","280,92M","1,08%"
"13.06.2021","1,558800","1,485200","1,559800","1,419100","330,63M","5,52%"
"12.06.2021","1,477200","1,436700","1,487400","1,379800","363,02M","2,87%"
"11.06.2021","1,436000","1,531800","1,531800","1,430100","323,13M","-6,24%"
"10.06.2021","1,531500","1,629500","1,629500","1,531300","312,52M","-5,70%"
"09.06.2021","1,624100","1,584000","1,624100","1,489900","471,51M","2,65%"
"08.06.2021","1,582200","1,555400","1,582200","1,448000","612,22M","1,09%"
"07.06.2021","1,565100","1,676000","1,739600","1,565100","341,22M","-6,57%"
"06.06.2021","1,675200","1,655000","1,691600","1,655000","192,00M","1,00%"
"05.06.2021","1,658600","1,708900","1,765600","1,652200","369,30M","-2,96%"
"04.06.2021","1,709200","1,846400","1,847600","1,630000","596,60M","-7,33%"
"03.06.2021","1,844300","1,748000","1,848600","1,729800","417,23M","5,20%"
"02.06.2021","1,753100","1,740200","1,790000","1,736600","431,61M","1,05%"
"01.06.2021","1,734900","1,749500","1,755300","1,702700","530,40M","-0,13%"
"31.05.2021","1,737100","1,564800","1,737100","1,529200","600,11M","10,24%"
"30.05.2021","1,575700","1,400600","1,658400","1,374100","764,16M","12,44%"
"29.05.2021","1,401400","1,512200","1,547400","1,351400","575,94M","-7,32%"
"28.05.2021","1,512100","1,649600","1,654500","1,472800","817,56M","-8,07%"
"27.05.2021","1,644900","1,770500","1,770500","1,635500","590,03M","-7,49%"
"26.05.2021","1,778100","1,556700","1,778100","1,556700","857,10M","14,59%"
"25.05.2021","1,551700","1,546500","1,575100","1,485300","807,91M","0,28%"
"24.05.2021","1,547300","1,319300","1,547300","1,319300","1,03B","17,67%"
"23.05.2021","1,315000","1,457600","1,505900","1,116600","1,46B","-10,13%"
"22.05.2021","1,463300","1,547500","1,573200","1,391300","800,76M","-5,40%"
"21.05.2021","1,546900","1,797000","1,834900","1,446000","1,16B","-14,23%"
"20.05.2021","1,803600","1,471600","1,892300","1,450800","1,33B","22,54%"
"19.05.2021","1,471900","2,004200","2,004200","1,241400","2,26B","-26,62%"
"18.05.2021","2,005900","2,037200","2,135700","1,989900","612,42M","-1,28%"
"17.05.2021","2,031900","2,296300","2,296300","1,921500","1,14B","-11,66%"
"16.05.2021","2,300000","2,190400","2,394000","2,036200","1,19B","5,82%"
"15.05.2021","2,173600","2,003600","2,288000","2,003600","1,38B","8,39%"
"14.05.2021","2,005400","1,940100","2,022400","1,863700","695,45M","3,92%"
"13.05.2021","1,929700","1,564600","1,929700","1,564600","1,57B","23,08%"
"12.05.2021","1,567900","1,762000","1,800600","1,567900","599,38M","-11,10%"
"11.05.2021","1,763600","1,639900","1,763600","1,611400","524,32M","7,35%"
"10.05.2021","1,642900","1,763500","1,801800","1,631700","712,39M","-6,99%"
"09.05.2021","1,766300","1,618200","1,799800","1,599400","883,08M","8,99%"
"08.05.2021","1,620600","1,652700","1,652700","1,592000","393,49M","-1,98%"
