"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","0,09057","0,08839","0,09065","0,08648","909,09M","2,55%"
"19.08.2021","0,08832","0,08454","0,08832","0,08173","979,89M","4,40%"
"18.08.2021","0,08460","0,08509","0,08742","0,08121","1,17B","-0,60%"
"17.08.2021","0,08511","0,08926","0,09216","0,08484","1,24B","-4,71%"
"16.08.2021","0,08932","0,09295","0,09659","0,08839","1,38B","-3,95%"
"15.08.2021","0,09299","0,09271","0,09505","0,08933","1,18B","0,38%"
"14.08.2021","0,09264","0,08957","0,09327","0,08688","1,40B","3,51%"
"13.08.2021","0,08950","0,08420","0,08952","0,08352","1,05B","6,38%"
"12.08.2021","0,08413","0,08338","0,09119","0,08059","2,21B","0,79%"
"11.08.2021","0,08347","0,07463","0,08634","0,07417","2,20B","11,85%"
"10.08.2021","0,07463","0,07392","0,07558","0,07222","916,47M","0,91%"
"09.08.2021","0,07396","0,07194","0,07473","0,06978","1,06B","2,89%"
"08.08.2021","0,07188","0,07527","0,07602","0,07077","1,18B","-4,53%"
"07.08.2021","0,07529","0,07198","0,07644","0,07185","1,27B","4,67%"
"06.08.2021","0,07193","0,07017","0,07244","0,06984","953,24M","2,57%"
"05.08.2021","0,07013","0,06736","0,07086","0,06704","1,35B","4,11%"
"04.08.2021","0,06736","0,06402","0,06794","0,06353","724,86M","5,23%"
"03.08.2021","0,06401","0,06463","0,06540","0,06289","699,09M","-0,94%"
"02.08.2021","0,06462","0,06321","0,06565","0,06227","777,28M","2,17%"
"01.08.2021","0,06325","0,06399","0,06678","0,06263","1,02B","-1,00%"
"31.07.2021","0,06389","0,06328","0,06466","0,06242","766,76M","1,04%"
"30.07.2021","0,06323","0,06187","0,06328","0,05979","893,89M","2,25%"
"29.07.2021","0,06184","0,06064","0,06230","0,05968","603,24M","1,84%"
"28.07.2021","0,06072","0,06017","0,06189","0,05969","952,07M","0,83%"
"27.07.2021","0,06022","0,05842","0,06076","0,05694","1,03B","3,03%"
"26.07.2021","0,05845","0,05789","0,06339","0,05768","1,72B","0,97%"
"25.07.2021","0,05789","0,05703","0,05812","0,05643","682,48M","2,21%"
"24.07.2021","0,05664","0,05602","0,05694","0,05578","679,48M","1,20%"
"23.07.2021","0,05597","0,05520","0,05621","0,05376","652,71M","1,28%"
"22.07.2021","0,05526","0,05387","0,05536","0,05298","658,57M","2,64%"
"21.07.2021","0,05384","0,05044","0,05515","0,04972","919,91M","6,57%"
"20.07.2021","0,05052","0,05345","0,05423","0,04918","899,32M","-5,45%"
"19.07.2021","0,05343","0,05592","0,05624","0,05332","558,06M","-4,50%"
"18.07.2021","0,05595","0,05597","0,05747","0,05543","492,07M","0,00%"
"17.07.2021","0,05595","0,05560","0,05665","0,05476","604,72M","0,63%"
"16.07.2021","0,05560","0,05784","0,05879","0,05560","649,98M","-3,86%"
"15.07.2021","0,05783","0,05988","0,06073","0,05709","652,28M","-3,41%"
"14.07.2021","0,05987","0,05937","0,06027","0,05689","723,43M","0,88%"
"13.07.2021","0,05935","0,06003","0,06068","0,05872","537,46M","-1,23%"
"12.07.2021","0,06009","0,06186","0,06283","0,05955","567,07M","-2,83%"
"11.07.2021","0,06184","0,06142","0,06253","0,06062","404,89M","0,73%"
"10.07.2021","0,06139","0,06215","0,06303","0,06065","579,07M","-1,29%"
"09.07.2021","0,06219","0,05942","0,06256","0,05919","687,29M","1,77%"
"08.07.2021","0,06111","0,06427","0,06445","0,06045","957,22M","-4,99%"
"07.07.2021","0,06432","0,06493","0,06596","0,06421","564,66M","-0,91%"
"06.07.2021","0,06491","0,06453","0,06615","0,06452","737,22M","0,56%"
"05.07.2021","0,06455","0,06734","0,06734","0,06407","852,32M","-4,17%"
"04.07.2021","0,06736","0,06740","0,06809","0,06693","712,33M","0,97%"
"03.07.2021","0,06671","0,06665","0,06698","0,06543","619,37M","0,24%"
"02.07.2021","0,06655","0,06470","0,06655","0,06345","666,51M","2,73%"
"01.07.2021","0,06478","0,06822","0,06822","0,06437","853,94M","-4,99%"
