"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","1,0004","1,0003","1,0005","0,9999","232,11M","0,03%"
"19.08.2021","1,0002","1,0003","1,0005","0,9999","204,14M","-0,01%"
"18.08.2021","1,0003","1,0002","1,0005","1,0001","252,96M","0,01%"
"17.08.2021","1,0002","1,0003","1,0008","1,0000","278,94M","-0,01%"
"16.08.2021","1,0003","1,0007","1,0007","1,0001","283,02M","-0,04%"
"15.08.2021","1,0007","1,0005","1,0008","1,0003","203,75M","0,01%"
"14.08.2021","1,0005","1,0003","1,0007","1,0002","222,92M","0,02%"
"13.08.2021","1,0003","1,0004","1,0008","1,0001","361,10M","-0,01%"
"12.08.2021","1,0004","1,0000","1,0006","1,0000","250,59M","0,01%"
"11.08.2021","1,0003","1,0002","1,0005","1,0001","290,37M","0,00%"
"10.08.2021","1,0002","1,0003","1,0005","1,0000","268,39M","0,00%"
"09.08.2021","1,0003","1,0001","1,0004","0,9998","472,11M","0,01%"
"08.08.2021","1,0001","1,0002","1,0004","0,9995","408,74M","-0,01%"
"07.08.2021","1,0002","1,0004","1,0006","1,0001","226,30M","-0,02%"
"06.08.2021","1,0004","1,0004","1,0005","1,0001","175,30M","0,00%"
"05.08.2021","1,0004","1,0001","1,0006","1,0000","279,76M","0,03%"
"04.08.2021","1,0001","1,0005","1,0005","0,9999","207,91M","-0,02%"
"03.08.2021","1,0003","1,0003","1,0009","1,0002","254,66M","0,00%"
"02.08.2021","1,0003","1,0006","1,0009","1,0002","350,81M","-0,02%"
"01.08.2021","1,0006","0,9997","1,0006","0,9996","241,21M","0,04%"
"31.07.2021","1,0002","1,0004","1,0004","1,0000","119,19M","-0,02%"
"30.07.2021","1,0004","1,0002","1,0007","1,0002","128,76M","0,02%"
"29.07.2021","1,0002","1,0003","1,0004","1,0002","86,26M","-0,01%"
"28.07.2021","1,0003","1,0004","1,0007","1,0001","162,76M","-0,01%"
"27.07.2021","1,0004","1,0004","1,0009","1,0002","225,37M","0,00%"
"26.07.2021","1,0004","1,0008","1,0011","0,9999","361,32M","-0,04%"
"25.07.2021","1,0008","1,0013","1,0014","1,0007","39,17M","-0,01%"
"24.07.2021","1,0009","1,0004","1,0009","1,0004","51,19M","0,05%"
"23.07.2021","1,0004","1,0003","1,0008","1,0002","128,11M","0,01%"
"22.07.2021","1,0003","1,0003","1,0007","1,0002","171,65M","0,00%"
"21.07.2021","1,0003","1,0005","1,0010","1,0002","226,40M","-0,02%"
"20.07.2021","1,0004","1,0004","1,0012","1,0003","364,36M","0,00%"
"19.07.2021","1,0004","1,0009","1,0013","1,0001","373,16M","-0,05%"
"18.07.2021","1,0009","1,0007","1,0010","0,9993","161,48M","0,02%"
"17.07.2021","1,0007","1,0006","1,0015","1,0000","236,32M","0,01%"
"16.07.2021","1,0006","1,0002","1,0010","1,0002","146,57M","0,05%"
"15.07.2021","1,0002","1,0002","1,0006","0,9999","191,41M","0,00%"
"14.07.2021","1,0002","1,0002","1,0008","1,0001","160,65M","0,00%"
"13.07.2021","1,0002","0,9998","1,0004","0,9996","149,38M","0,05%"
"12.07.2021","0,9998","1,0000","1,0002","0,9995","193,52M","-0,02%"
"11.07.2021","1,0000","0,9999","1,0001","0,9998","50,20M","0,01%"
"10.07.2021","0,9999","0,9990","1,0000","0,9987","144,81M","0,05%"
"09.07.2021","0,9994","0,9996","0,9997","0,9991","530,93M","-0,03%"
"08.07.2021","0,9996","1,0004","1,0007","0,9987","684,52M","-0,08%"
"07.07.2021","1,0004","1,0002","1,0008","1,0001","154,46M","0,02%"
"06.07.2021","1,0002","1,0003","1,0006","0,9999","190,22M","-0,01%"
"05.07.2021","1,0003","1,0000","1,0004","0,9998","145,66M","0,03%"
"04.07.2021","1,0000","1,0003","1,0003","0,9998","75,98M","-0,04%"
"03.07.2021","1,0003","1,0003","1,0007","1,0003","54,22M","0,01%"
"02.07.2021","1,0003","1,0002","1,0004","1,0000","133,66M","0,00%"
"01.07.2021","1,0002","1,0004","1,0007","0,9998","152,87M","-0,01%"
"30.06.2021","1,0003","1,0002","1,0005","1,0000","273,01M","0,01%"
"29.06.2021","1,0002","1,0004","1,0008","1,0002","225,81M","-0,01%"
