"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","0,38489","0,36783","0,38766","0,36079","171,13M","4,83%"
"19.08.2021","0,36717","0,34192","0,36822","0,33191","171,58M","7,30%"
"18.08.2021","0,34218","0,34123","0,35929","0,32650","174,02M","0,17%"
"17.08.2021","0,34159","0,37143","0,38378","0,33969","196,52M","-8,11%"
"16.08.2021","0,37175","0,39088","0,41000","0,37034","218,12M","-4,93%"
"15.08.2021","0,39102","0,39467","0,40294","0,37001","241,09M","-1,21%"
"14.08.2021","0,39580","0,36025","0,39931","0,35183","302,88M","9,95%"
"13.08.2021","0,35999","0,32843","0,36493","0,32399","189,34M","9,50%"
"12.08.2021","0,32876","0,33702","0,35290","0,31530","223,83M","-2,65%"
"11.08.2021","0,33770","0,31013","0,35226","0,30954","268,95M","8,86%"
"10.08.2021","0,31021","0,29832","0,31487","0,29540","146,49M","3,78%"
"09.08.2021","0,29892","0,28696","0,30547","0,27989","136,51M","4,19%"
"08.08.2021","0,28691","0,30729","0,31334","0,28561","125,89M","-6,74%"
"07.08.2021","0,30764","0,28532","0,31161","0,28201","225,47M","7,91%"
"06.08.2021","0,28508","0,28038","0,28619","0,27439","103,15M","1,73%"
"05.08.2021","0,28022","0,28066","0,28243","0,26546","111,62M","-0,11%"
"04.08.2021","0,28052","0,27409","0,28383","0,26518","91,43M","2,32%"
"03.08.2021","0,27416","0,27407","0,27875","0,26444","88,49M","-0,06%"
"02.08.2021","0,27433","0,27525","0,28637","0,26896","136,34M","-0,36%"
"01.08.2021","0,27533","0,28460","0,30067","0,27359","160,73M","-2,99%"
"31.07.2021","0,28383","0,27967","0,28955","0,27396","124,12M","1,53%"
"30.07.2021","0,27954","0,27251","0,28495","0,26243","130,60M","2,63%"
"29.07.2021","0,27237","0,27013","0,27489","0,26189","86,03M","0,82%"
"28.07.2021","0,27016","0,26289","0,28134","0,25833","170,60M","2,61%"
"27.07.2021","0,26328","0,26014","0,27009","0,25123","112,99M","1,06%"
"26.07.2021","0,26051","0,26179","0,28404","0,25673","192,09M","-0,43%"
"25.07.2021","0,26163","0,25872","0,26181","0,25353","73,84M","-0,26%"
"24.07.2021","0,26230","0,26947","0,27205","0,26166","142,52M","-2,60%"
"23.07.2021","0,26931","0,26371","0,27733","0,24881","261,96M","2,24%"
"22.07.2021","0,26342","0,22830","0,26752","0,22376","340,80M","15,51%"
"21.07.2021","0,22804","0,21171","0,22977","0,20691","130,06M","7,57%"
"20.07.2021","0,21200","0,21152","0,21515","0,19904","145,40M","0,55%"
"19.07.2021","0,21084","0,22970","0,23109","0,21084","88,72M","-8,25%"
"18.07.2021","0,22980","0,23252","0,24028","0,22785","82,66M","-1,14%"
"17.07.2021","0,23246","0,23515","0,23805","0,22795","106,79M","-1,11%"
"16.07.2021","0,23507","0,24094","0,25775","0,23313","248,47M","-2,59%"
"15.07.2021","0,24132","0,23996","0,24328","0,22627","112,40M","0,63%"
"14.07.2021","0,23982","0,23221","0,24463","0,21936","121,09M","3,25%"
"13.07.2021","0,23228","0,23831","0,24209","0,22710","88,39M","-2,64%"
"12.07.2021","0,23858","0,24600","0,25206","0,23611","81,97M","-2,96%"
"11.07.2021","0,24587","0,24478","0,24798","0,24036","56,94M","0,42%"
"10.07.2021","0,24484","0,24566","0,25233","0,23860","67,31M","-0,27%"
"09.07.2021","0,24550","0,23517","0,24928","0,23313","105,11M","0,68%"
"08.07.2021","0,24383","0,25628","0,25758","0,23890","113,03M","-5,04%"
"07.07.2021","0,25677","0,26020","0,26418","0,25630","98,79M","-1,11%"
"06.07.2021","0,25965","0,25361","0,26624","0,25361","106,51M","2,31%"
"05.07.2021","0,25378","0,26789","0,26789","0,25297","104,87M","-5,33%"
"04.07.2021","0,26807","0,27042","0,27110","0,26807","84,60M","1,18%"
"03.07.2021","0,26495","0,26349","0,26870","0,26089","82,83M","0,71%"
"02.07.2021","0,26308","0,26846","0,26911","0,25531","85,58M","-2,20%"
"01.07.2021","0,26899","0,28329","0,28329","0,26289","107,06M","-5,05%"
"30.06.2021","0,28331","0,28301","0,28600","0,26865","126,41M","0,90%"
"29.06.2021","0,28079","0,26357","0,29096","0,26357","160,27M","6,56%"
"28.06.2021","0,26351","0,25983","0,26776","0,25728","118,27M","1,73%"
"27.06.2021","0,25902","0,25064","0,25902","0,24178","135,04M","4,07%"
"26.06.2021","0,24888","0,24084","0,24888","0,22967","120,38M","3,03%"
"25.06.2021","0,24157","0,27062","0,27172","0,24157","162,17M","-9,95%"
"24.06.2021","0,26826","0,25550","0,27136","0,24514","143,15M","5,01%"
"23.06.2021","0,25547","0,23519","0,26487","0,23519","203,38M","9,09%"
"22.06.2021","0,23418","0,23640","0,25160","0,20985","361,75M","-0,69%"
"21.06.2021","0,23581","0,29805","0,29805","0,23581","247,34M","-20,64%"
"20.06.2021","0,29713","0,28883","0,29764","0,27742","126,08M","2,65%"
"19.06.2021","0,28945","0,29703","0,30328","0,28945","84,01M","-2,41%"
"18.06.2021","0,29660","0,31733","0,31733","0,29123","150,90M","-6,56%"
"17.06.2021","0,31741","0,31759","0,32890","0,31215","101,04M","-0,08%"
"16.06.2021","0,31766","0,33341","0,34163","0,31766","142,48M","-4,81%"
"15.06.2021","0,33371","0,34300","0,34571","0,33270","139,48M","-2,66%"
"14.06.2021","0,34282","0,34514","0,34514","0,32978","152,24M","-0,54%"
"13.06.2021","0,34467","0,32838","0,34527","0,31491","141,73M","5,13%"
"12.06.2021","0,32785","0,31787","0,34250","0,30230","190,27M","3,03%"
"11.06.2021","0,31821","0,33849","0,34190","0,31674","141,76M","-6,05%"
"10.06.2021","0,33869","0,36507","0,36542","0,33802","150,52M","-7,21%"
"09.06.2021","0,36500","0,34940","0,36500","0,32899","196,49M","4,34%"
"08.06.2021","0,34982","0,34710","0,35169","0,32040","227,69M","0,93%"
"07.06.2021","0,34661","0,38036","0,38964","0,34661","147,51M","-8,91%"
"06.06.2021","0,38053","0,37447","0,38384","0,37447","101,62M","1,51%"
"05.06.2021","0,37488","0,38511","0,39997","0,37357","180,56M","-2,56%"
"04.06.2021","0,38474","0,42538","0,42538","0,37634","223,85M","-9,49%"
"03.06.2021","0,42508","0,41828","0,42867","0,41437","194,05M","1,52%"
"02.06.2021","0,41872","0,41932","0,42499","0,41224","229,36M","0,10%"
"01.06.2021","0,41829","0,40235","0,43156","0,39404","417,40M","3,80%"
"31.05.2021","0,40298","0,37157","0,40395","0,36803","258,18M","7,60%"
"30.05.2021","0,37452","0,36628","0,39450","0,35146","207,75M","2,16%"
"29.05.2021","0,36659","0,39877","0,40113","0,34685","254,46M","-8,10%"
"28.05.2021","0,39892","0,41900","0,41900","0,37411","314,79M","-4,73%"
"27.05.2021","0,41871","0,44147","0,44511","0,41610","223,02M","-5,57%"
"26.05.2021","0,44341","0,43024","0,46769","0,43024","334,70M","3,51%"
"25.05.2021","0,42838","0,43862","0,45287","0,41378","396,28M","-2,43%"
"24.05.2021","0,43904","0,36530","0,43904","0,36530","577,49M","20,19%"
"23.05.2021","0,36529","0,38774","0,39421","0,29722","535,68M","-5,97%"
"22.05.2021","0,38850","0,41864","0,41937","0,37534","329,91M","-7,28%"
"21.05.2021","0,41901","0,49228","0,50971","0,40836","402,47M","-15,31%"
"20.05.2021","0,49476","0,45163","0,52185","0,42923","522,60M","11,17%"
"19.05.2021","0,44503","0,64619","0,64619","0,36284","1,02B","-31,11%"
"18.05.2021","0,64597","0,64648","0,69051","0,63872","432,77M","0,56%"
"17.05.2021","0,64236","0,71027","0,71027","0,64210","574,64M","-10,03%"
"16.05.2021","0,71398","0,68578","0,77356","0,67001","843,89M","4,98%"
"15.05.2021","0,68008","0,66850","0,70115","0,66312","692,12M","1,91%"
"14.05.2021","0,66735","0,65705","0,69105","0,65323","472,81M","2,51%"
"13.05.2021","0,65098","0,59119","0,65098","0,56462","645,72M","9,73%"
"12.05.2021","0,59326","0,73622","0,73622","0,59326","485,77M","-18,81%"
"11.05.2021","0,73068","0,65509","0,73068","0,62842","752,70M","11,14%"
"10.05.2021","0,65743","0,62786","0,74587","0,62786","1,30B","4,69%"
"09.05.2021","0,62800","0,61546","0,62800","0,58342","293,57M","2,03%"
"08.05.2021","0,61551","0,63008","0,63500","0,61551","197,97M","-2,26%"
"07.05.2021","0,62977","0,64930","0,66241","0,61034","443,75M","-3,38%"
"06.05.2021","0,65177","0,60664","0,68119","0,60664","930,06M","7,66%"
"05.05.2021","0,60540","0,52348","0,60540","0,52348","506,30M","18,49%"
"04.05.2021","0,51095","0,55081","0,55081","0,50052","300,56M","-7,38%"
"03.05.2021","0,55167","0,55877","0,56786","0,54391","241,29M","-0,79%"
"02.05.2021","0,55605","0,54031","0,55605","0,51612","256,78M","3,02%"
"01.05.2021","0,53973","0,52953","0,53973","0,51834","171,23M","1,87%"
"30.04.2021","0,52983","0,49073","0,52983","0,48952","295,40M","7,83%"
"29.04.2021","0,49134","0,49737","0,50004","0,48451","167,18M","-1,27%"
"28.04.2021","0,49765","0,50955","0,52001","0,48625","204,42M","-2,31%"
"27.04.2021","0,50943","0,48641","0,51889","0,48641","235,73M","5,02%"
"26.04.2021","0,48507","0,41754","0,48507","0,41754","275,02M","16,54%"
"25.04.2021","0,41623","0,42568","0,44000","0,40862","193,15M","-2,10%"
"24.04.2021","0,42514","0,45063","0,45443","0,41867","282,73M","-5,57%"
"23.04.2021","0,45021","0,44944","0,45021","0,39991","492,71M","0,08%"
"22.04.2021","0,44986","0,49168","0,51265","0,44986","308,70M","-8,13%"
"21.04.2021","0,48969","0,52797","0,52797","0,48969","257,85M","-7,47%"
"20.04.2021","0,52922","0,50092","0,52922","0,48317","278,01M","5,92%"
"19.04.2021","0,49964","0,54668","0,55849","0,49558","312,75M","-8,26%"
"18.04.2021","0,54461","0,59314","0,59314","0,48039","455,35M","-7,92%"
"17.04.2021","0,59148","0,60996","0,63567","0,59148","263,49M","-3,04%"
"16.04.2021","0,61000","0,64056","0,64056","0,59108","376,14M","-4,58%"
"15.04.2021","0,63929","0,63649","0,63931","0,62231","316,57M","0,67%"
"14.04.2021","0,63504","0,66027","0,68063","0,61206","619,33M","-3,26%"
"13.04.2021","0,65643","0,59557","0,66001","0,58315","863,17M","11,14%"
"12.04.2021","0,59062","0,58390","0,59622","0,57008","482,06M","0,64%"
"11.04.2021","0,58687","0,56639","0,64239","0,55747","1,39B","4,36%"
"10.04.2021","0,56235","0,48674","0,56235","0,48221","807,67M","15,84%"
"09.04.2021","0,48544","0,50598","0,50598","0,48042","223,84M","-3,80%"
"08.04.2021","0,50459","0,47317","0,50459","0,47317","294,43M","6,64%"
"07.04.2021","0,47318","0,54090","0,54090","0,46122","558,11M","-12,29%"
"06.04.2021","0,53946","0,53711","0,54991","0,50285","883,50M","0,65%"
"05.04.2021","0,53600","0,43109","0,53600","0,42906","879,30M","25,08%"
"04.04.2021","0,42854","0,40721","0,42921","0,40721","220,00M","4,94%"
"03.04.2021","0,40837","0,43945","0,45527","0,40837","335,34M","-6,93%"
"02.04.2021","0,43878","0,42616","0,45325","0,42616","489,43M","3,48%"
"01.04.2021","0,42402","0,40702","0,42402","0,40687","291,65M","4,57%"
"31.03.2021","0,40550","0,40043","0,40550","0,38606","211,50M","1,10%"
"30.03.2021","0,40108","0,40496","0,40880","0,39968","172,14M","-0,84%"
"29.03.2021","0,40446","0,39878","0,40776","0,39368","186,09M","1,75%"
"28.03.2021","0,39751","0,38212","0,40518","0,37834","326,40M","4,07%"
"27.03.2021","0,38195","0,38476","0,38476","0,37439","113,50M","-0,69%"
"26.03.2021","0,38460","0,36140","0,38460","0,36140","139,09M","6,46%"
"25.03.2021","0,36127","0,36166","0,36636","0,35248","213,57M","-0,35%"
"24.03.2021","0,36255","0,39492","0,40091","0,36255","170,43M","-8,41%"
"23.03.2021","0,39586","0,39308","0,40379","0,39187","197,87M","0,83%"
"22.03.2021","0,39261","0,40348","0,41834","0,39261","283,59M","-2,70%"
"21.03.2021","0,40351","0,41554","0,41554","0,39507","257,22M","-2,82%"
"20.03.2021","0,41524","0,39468","0,42850","0,39468","326,22M","5,00%"
"19.03.2021","0,39545","0,39400","0,40030","0,39393","126,16M","0,12%"
"18.03.2021","0,39499","0,40289","0,40626","0,39499","150,27M","-1,96%"
"17.03.2021","0,40288","0,39627","0,40288","0,38885","168,20M","1,88%"
"16.03.2021","0,39544","0,38372","0,39950","0,38024","288,52M","2,93%"
"15.03.2021","0,38417","0,39010","0,39189","0,37729","188,93M","-1,18%"
"14.03.2021","0,38876","0,40730","0,40730","0,38876","138,06M","-4,46%"
"13.03.2021","0,40689","0,38626","0,40939","0,37860","193,55M","5,27%"
"12.03.2021","0,38653","0,40564","0,40564","0,38368","184,59M","-4,49%"
"11.03.2021","0,40468","0,41072","0,41177","0,39617","176,86M","-1,24%"
"10.03.2021","0,40978","0,43300","0,43300","0,40978","192,29M","-4,98%"
"09.03.2021","0,43126","0,41880","0,43201","0,41378","234,10M","3,12%"
"08.03.2021","0,41823","0,41313","0,41823","0,40555","168,89M","1,36%"
"07.03.2021","0,41263","0,40245","0,42101","0,40245","161,69M","2,73%"
"06.03.2021","0,40166","0,40615","0,40615","0,39533","111,47M","-0,72%"
"05.03.2021","0,40458","0,41201","0,41201","0,38993","176,48M","-1,73%"
"04.03.2021","0,41170","0,41950","0,42442","0,40879","252,71M","-2,22%"
"03.03.2021","0,42105","0,41728","0,43133","0,41440","226,38M","0,59%"
"02.03.2021","0,41856","0,42958","0,42958","0,40229","243,81M","-2,69%"
"01.03.2021","0,43011","0,40557","0,43011","0,40390","254,01M","6,22%"
"28.02.2021","0,40493","0,43870","0,44288","0,39059","319,71M","-7,44%"
"27.02.2021","0,43750","0,40109","0,45396","0,40109","527,99M","9,41%"
"26.02.2021","0,39989","0,37935","0,39989","0,35751","241,87M","5,17%"
"25.02.2021","0,38025","0,40514","0,42029","0,38025","203,79M","-6,12%"
"24.02.2021","0,40505","0,38887","0,43075","0,38887","291,69M","4,79%"
"23.02.2021","0,38652","0,46377","0,46377","0,36025","623,04M","-16,46%"
"22.02.2021","0,46266","0,49837","0,50511","0,44879","514,87M","-6,73%"
"21.02.2021","0,49606","0,48640","0,50211","0,48198","204,24M","1,98%"
"20.02.2021","0,48643","0,51387","0,52567","0,48643","370,78M","-5,10%"
"19.02.2021","0,51256","0,49754","0,51256","0,48620","255,84M","3,29%"
"18.02.2021","0,49621","0,49954","0,50676","0,49469","223,33M","-0,13%"
"17.02.2021","0,49684","0,48541","0,50105","0,46730","236,40M","2,39%"
"16.02.2021","0,48525","0,49538","0,50764","0,47797","292,93M","-1,76%"
"15.02.2021","0,49396","0,51951","0,53339","0,43049","569,03M","-4,15%"
"14.02.2021","0,51535","0,56611","0,56622","0,50922","417,17M","-8,51%"
"13.02.2021","0,56327","0,53176","0,58416","0,53176","884,55M","6,24%"
"12.02.2021","0,53021","0,45946","0,53021","0,44720","607,92M","16,38%"
"11.02.2021","0,45559","0,41750","0,46160","0,41750","550,23M","9,85%"
"10.02.2021","0,41474","0,40183","0,43601","0,39834","672,93M","3,65%"
"09.02.2021","0,40014","0,39831","0,40147","0,38422","343,99M","0,74%"
"08.02.2021","0,39719","0,38404","0,39899","0,38256","515,01M","3,09%"
"07.02.2021","0,38527","0,37844","0,40856","0,37574","1,18B","2,09%"
"06.02.2021","0,37740","0,35200","0,37740","0,34040","616,86M","7,13%"
"05.02.2021","0,35227","0,32861","0,35607","0,32842","512,54M","8,16%"
"04.02.2021","0,32569","0,34786","0,34786","0,32313","327,02M","-5,81%"
"03.02.2021","0,34578","0,34120","0,34578","0,33271","294,00M","2,09%"
"02.02.2021","0,33870","0,32326","0,34804","0,32115","484,24M","4,74%"
"01.02.2021","0,32336","0,30729","0,34202","0,30127","1,09B","5,47%"
"31.01.2021","0,30660","0,32501","0,33312","0,30264","659,00M","-6,65%"
"30.01.2021","0,32843","0,29430","0,32843","0,28548","1,18B","12,05%"
"29.01.2021","0,29310","0,29558","0,34714","0,29179","1,84B","0,02%"
"28.01.2021","0,29305","0,23743","0,29305","0,23743","462,03M","23,17%"
"27.01.2021","0,23792","0,26155","0,26155","0,23792","164,62M","-9,07%"
"26.01.2021","0,26166","0,26080","0,26206","0,25283","152,99M","0,35%"
"25.01.2021","0,26074","0,27117","0,27541","0,26074","187,70M","-3,85%"
"24.01.2021","0,27117","0,26976","0,28236","0,26908","219,12M","0,50%"
"23.01.2021","0,26981","0,26930","0,27490","0,26618","206,86M","-0,05%"
"22.01.2021","0,26995","0,25118","0,27790","0,24100","417,41M","7,62%"
"21.01.2021","0,25083","0,29375","0,29375","0,24622","307,54M","-14,50%"
"20.01.2021","0,29336","0,29760","0,29989","0,28113","312,83M","-1,66%"
"19.01.2021","0,29832","0,30612","0,31411","0,29832","492,46M","-2,27%"
"18.01.2021","0,30526","0,30447","0,30587","0,29636","276,48M","0,51%"
"17.01.2021","0,30372","0,29068","0,31262","0,29068","543,23M","4,35%"
