"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","1,26320","1,23540","1,28750","1,20000","594,65M","2,28%"
"19.08.2021","1,23500","1,14420","1,23500","1,09040","723,43M","7,94%"
"18.08.2021","1,14420","1,09780","1,19420","1,05220","870,32M","4,09%"
"17.08.2021","1,09920","1,18570","1,22250","1,08690","893,34M","-7,30%"
"16.08.2021","1,18580","1,28410","1,32780","1,15070","911,97M","-7,68%"
"15.08.2021","1,28450","1,28450","1,34780","1,22550","1,16B","0,35%"
"14.08.2021","1,28000","1,09090","1,30850","1,07090","1,41B","17,43%"
"13.08.2021","1,09000","0,96610","1,09620","0,95180","674,44M","12,81%"
"12.08.2021","0,96620","1,01170","1,04390","0,92520","990,89M","-4,56%"
"11.08.2021","1,01240","0,85090","1,08860","0,84930","1,13B","18,92%"
"10.08.2021","0,85130","0,81690","0,86180","0,80020","503,29M","4,19%"
"09.08.2021","0,81710","0,77880","0,82740","0,76060","474,99M","4,88%"
"08.08.2021","0,77910","0,81620","0,84040","0,77290","556,17M","-4,60%"
"07.08.2021","0,81670","0,74780","0,81810","0,74120","589,61M","9,32%"
"06.08.2021","0,74710","0,73370","0,75260","0,72270","305,04M","1,92%"
"05.08.2021","0,73300","0,73090","0,73860","0,70260","331,87M","0,33%"
"04.08.2021","0,73060","0,71290","0,73980","0,69730","330,56M","2,44%"
"03.08.2021","0,71320","0,73710","0,74430","0,70140","398,16M","-3,43%"
"02.08.2021","0,73850","0,72400","0,77270","0,71670","410,75M","1,89%"
"01.08.2021","0,72480","0,74620","0,77770","0,71390","470,60M","-2,58%"
"31.07.2021","0,74400","0,75210","0,75800","0,73810","377,01M","-1,00%"
"30.07.2021","0,75150","0,74910","0,76900","0,71530","604,83M","0,48%"
"29.07.2021","0,74790","0,73220","0,76480","0,69770","513,94M","2,03%"
"28.07.2021","0,73300","0,64480","0,75260","0,63110","1,17B","13,56%"
"27.07.2021","0,64550","0,62360","0,65230","0,61260","426,97M","3,48%"
"26.07.2021","0,62380","0,60690","0,67740","0,60500","803,51M","2,78%"
"25.07.2021","0,60690","0,60080","0,60690","0,59110","259,01M","0,03%"
"24.07.2021","0,60670","0,61030","0,61390","0,60220","349,94M","-0,39%"
"23.07.2021","0,60910","0,59200","0,60990","0,57630","359,56M","2,91%"
"22.07.2021","0,59190","0,57090","0,60290","0,56100","409,34M","3,61%"
"21.07.2021","0,57130","0,52760","0,58310","0,51990","493,35M","8,08%"
"20.07.2021","0,52860","0,55720","0,56910","0,51770","393,71M","-5,12%"
"19.07.2021","0,55710","0,58660","0,58880","0,55440","294,92M","-5,06%"
"18.07.2021","0,58680","0,58180","0,60110","0,57300","241,71M","0,89%"
"17.07.2021","0,58160","0,58910","0,59710","0,56790","263,49M","-1,31%"
"16.07.2021","0,58930","0,59800","0,61720","0,58810","282,76M","-1,39%"
"15.07.2021","0,59760","0,61960","0,62610","0,58860","339,16M","-3,58%"
"14.07.2021","0,61980","0,61910","0,62460","0,58690","352,23M","0,06%"
"13.07.2021","0,61940","0,62880","0,63930","0,61030","316,02M","-1,51%"
"12.07.2021","0,62890","0,63620","0,65700","0,61930","356,81M","-1,15%"
"11.07.2021","0,63620","0,62460","0,64320","0,61720","201,38M","1,78%"
"10.07.2021","0,62510","0,63600","0,64850","0,61340","279,75M","-1,90%"
"09.07.2021","0,63720","0,59780","0,64530","0,59360","358,91M","2,18%"
"08.07.2021","0,62360","0,65140","0,65380","0,61160","431,08M","-4,37%"
"07.07.2021","0,65210","0,66450","0,67230","0,65030","284,38M","-1,87%"
"06.07.2021","0,66450","0,65300","0,67720","0,65300","378,89M","1,71%"
"05.07.2021","0,65330","0,69600","0,69600","0,65160","407,48M","-6,11%"
"04.07.2021","0,69580","0,69400","0,70470","0,68890","333,97M","2,90%"
"03.07.2021","0,67620","0,65610","0,67640","0,64800","315,95M","3,05%"
"02.07.2021","0,65620","0,65880","0,65880","0,63780","387,37M","-0,58%"
"01.07.2021","0,66000","0,70470","0,70470","0,65810","463,32M","-6,40%"
"30.06.2021","0,70510","0,70650","0,71340","0,65650","634,65M","-0,14%"
"29.06.2021","0,70610","0,64410","0,72240","0,64410","718,45M","9,66%"
"28.06.2021","0,64390","0,64830","0,64950","0,62770","460,04M","-0,54%"
"27.06.2021","0,64740","0,61570","0,64740","0,60340","472,60M","4,96%"
"26.06.2021","0,61680","0,61270","0,62600","0,58800","548,94M","0,82%"
"25.06.2021","0,61180","0,67570","0,68640","0,61180","795,38M","-8,99%"
"24.06.2021","0,67220","0,63850","0,68890","0,62420","633,35M","5,31%"
"23.06.2021","0,63830","0,54310","0,64880","0,54310","1,17B","16,73%"
"22.06.2021","0,54680","0,61040","0,63770","0,54680","1,61B","-9,83%"
"21.06.2021","0,60640","0,77540","0,77540","0,60640","1,07B","-21,71%"
"20.06.2021","0,77460","0,75830","0,77490","0,71730","589,55M","1,89%"
"19.06.2021","0,76020","0,79720","0,80310","0,76020","316,97M","-4,44%"
"18.06.2021","0,79550","0,84130","0,84200","0,78420","389,36M","-5,43%"
"17.06.2021","0,84120","0,83190","0,85800","0,82710","315,80M","1,09%"
"16.06.2021","0,83210","0,86540","0,86930","0,83210","379,71M","-3,99%"
"15.06.2021","0,86670","0,89030","0,89510","0,86670","367,78M","-2,65%"
"14.06.2021","0,89030","0,88380","0,89330","0,87000","441,72M","0,79%"
"13.06.2021","0,88330","0,83450","0,88330","0,82390","344,86M","6,24%"
"12.06.2021","0,83140","0,84760","0,84760","0,81260","375,41M","-1,89%"
"11.06.2021","0,84740","0,86800","0,87120","0,83730","384,81M","-2,43%"
"10.06.2021","0,86850","0,92020","0,92020","0,86360","592,82M","-5,53%"
"09.06.2021","0,91930","0,87300","0,91930","0,83670","798,66M","5,20%"
"08.06.2021","0,87390","0,85990","0,88010","0,80410","989,50M","1,19%"
"07.06.2021","0,86360","0,94750","0,97090","0,86360","674,08M","-8,60%"
"06.06.2021","0,94490","0,92260","0,94490","0,92260","395,25M","2,39%"
"05.06.2021","0,92280","0,97040","0,99180","0,91690","621,97M","-4,78%"
"04.06.2021","0,96910","1,04590","1,04590","0,92500","814,55M","-7,19%"
"03.06.2021","1,04420","1,02290","1,04420","1,01510","701,11M","1,93%"
"02.06.2021","1,02440","1,01220","1,03500","0,99410","673,79M","1,36%"
"01.06.2021","1,01070","1,05180","1,06330","1,00020","1,13B","-2,90%"
"31.05.2021","1,04090","0,90260","1,04090","0,89440","1,22B","14,88%"
"30.05.2021","0,90610","0,82990","0,90610","0,80840","837,63M","9,12%"
"29.05.2021","0,83040","0,89770","0,92770","0,80750","981,03M","-7,65%"
"28.05.2021","0,89920","0,97340","0,97340","0,86230","1,22B","-7,28%"
"27.05.2021","0,96980","1,02770","1,02770","0,95180","996,92M","-5,99%"
"26.05.2021","1,03160","0,97620","1,05890","0,97620","1,16B","5,87%"
