"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","0,9997","1,0000","1,0001","0,9997","1,09B","-0,03%"
"19.08.2021","1,0000","0,9998","1,0002","0,9997","1,14B","0,03%"
"18.08.2021","0,9997","1,0000","1,0001","0,9996","1,10B","-0,03%"
"17.08.2021","1,0000","0,9997","1,0001","0,9996","1,21B","0,03%"
"16.08.2021","0,9997","0,9992","0,9999","0,9992","1,10B","0,04%"
"15.08.2021","0,9993","0,9993","0,9995","0,9991","661,56M","0,00%"
"14.08.2021","0,9993","0,9996","0,9996","0,9991","817,07M","-0,02%"
"13.08.2021","0,9995","0,9996","0,9998","0,9995","673,87M","-0,01%"
"12.08.2021","0,9996","0,9995","0,9998","0,9994","865,33M","0,00%"
"11.08.2021","0,9996","0,9996","0,9999","0,9994","964,10M","0,00%"
"10.08.2021","0,9996","0,9997","0,9998","0,9994","747,69M","-0,01%"
"09.08.2021","0,9997","0,9994","0,9999","0,9993","846,80M","0,04%"
"08.08.2021","0,9993","0,9992","0,9996","0,9990","934,20M","0,01%"
"07.08.2021","0,9992","0,9995","0,9996","0,9992","1,07B","-0,03%"
"06.08.2021","0,9995","0,9996","1,0000","0,9995","941,76M","-0,01%"
"05.08.2021","0,9996","1,0000","1,0003","0,9995","1,03B","-0,04%"
"04.08.2021","1,0000","1,0000","1,0002","0,9999","581,87M","0,00%"
"03.08.2021","1,0000","0,9998","1,0001","0,9997","630,27M","0,03%"
"02.08.2021","0,9997","0,9997","1,0000","0,9997","584,91M","0,01%"
"01.08.2021","0,9996","0,9993","0,9998","0,9992","706,19M","0,03%"
"31.07.2021","0,9993","0,9995","0,9997","0,9992","726,60M","-0,02%"
"30.07.2021","0,9995","0,9998","0,9998","0,9994","847,37M","-0,03%"
"29.07.2021","0,9998","0,9999","0,9999","0,9996","615,62M","-0,01%"
"28.07.2021","0,9999","0,9997","1,0000","0,9995","995,07M","0,01%"
"27.07.2021","0,9998","0,9997","1,0000","0,9995","1,24B","0,00%"
"26.07.2021","0,9998","0,9995","1,0005","0,9993","2,08B","0,04%"
"25.07.2021","0,9994","0,9994","0,9996","0,9994","667,21M","-0,02%"
"24.07.2021","0,9996","0,9999","0,9999","0,9996","631,86M","-0,03%"
"23.07.2021","0,9999","1,0000","1,0001","0,9998","686,93M","-0,01%"
"22.07.2021","1,0000","1,0000","1,0001","0,9999","697,10M","0,00%"
"21.07.2021","1,0000","0,9999","1,0002","0,9998","797,24M","0,01%"
"20.07.2021","0,9999","1,0001","1,0002","0,9998","507,24M","-0,02%"
"19.07.2021","1,0001","0,9999","1,0006","0,9999","622,72M","0,02%"
"18.07.2021","0,9999","0,9998","1,0000","0,9998","290,31M","0,00%"
"17.07.2021","0,9999","0,9998","1,0000","0,9998","333,09M","0,00%"
"16.07.2021","0,9999","1,0001","1,0002","0,9998","533,93M","-0,02%"
"15.07.2021","1,0001","1,0000","1,0004","0,9998","739,78M","0,02%"
"14.07.2021","0,9999","1,0000","1,0002","0,9999","555,73M","-0,01%"
"13.07.2021","1,0000","1,0000","1,0002","0,9997","681,14M","0,01%"
"12.07.2021","0,9999","1,0000","1,0001","0,9999","587,79M","-0,01%"
"11.07.2021","1,0000","1,0000","1,0001","0,9999","315,15M","0,01%"
"10.07.2021","0,9999","1,0000","1,0001","0,9999","351,52M","-0,02%"
"09.07.2021","1,0001","1,0000","1,0001","0,9998","515,33M","0,01%"
"08.07.2021","1,0000","0,9998","1,0000","0,9996","630,27M","0,01%"
"07.07.2021","0,9999","0,9999","0,9999","0,9996","559,19M","0,01%"
"06.07.2021","0,9998","0,9997","0,9998","0,9996","600,94M","0,01%"
"05.07.2021","0,9997","0,9999","1,0000","0,9997","441,22M","-0,02%"
"04.07.2021","0,9999","0,9999","1,0000","0,9998","519,05M","0,01%"
"03.07.2021","0,9998","0,9999","1,0000","0,9998","388,19M","-0,01%"
"02.07.2021","0,9999","0,9999","1,0002","0,9998","607,30M","0,00%"
"01.07.2021","0,9999","0,9998","1,0002","0,9998","762,64M","0,01%"
"30.06.2021","0,9998","1,0000","1,0000","0,9997","622,40M","-0,01%"
"29.06.2021","0,9999","0,9999","1,0000","0,9995","911,08M","0,00%"
"28.06.2021","0,9999","0,9999","1,0000","0,9997","1,14B","0,01%"
"27.06.2021","0,9998","1,0001","1,0001","0,9998","670,14M","-0,03%"
"26.06.2021","1,0001","1,0000","1,0002","0,9999","826,23M","0,00%"
"25.06.2021","1,0001","1,0002","1,0003","0,9999","907,18M","-0,01%"
"24.06.2021","1,0002","0,9998","1,0002","0,9998","802,56M","0,04%"
"23.06.2021","0,9998","0,9997","0,9999","0,9996","1,34B","0,01%"
"22.06.2021","0,9997","1,0002","1,0002","0,9995","1,60B","-0,05%"
"21.06.2021","1,0002","1,0002","1,0002","0,9997","1,56B","0,01%"
"20.06.2021","1,0001","0,9998","1,0002","0,9997","880,99M","0,04%"
"19.06.2021","0,9997","0,9996","0,9997","0,9995","477,54M","0,02%"
"18.06.2021","0,9995","1,0001","1,0001","0,9995","784,40M","-0,05%"
"17.06.2021","1,0000","1,0001","1,0002","1,0000","502,46M","-0,02%"
"16.06.2021","1,0002","0,9999","1,0002","0,9999","549,75M","0,03%"
"15.06.2021","0,9999","0,9996","1,0001","0,9996","719,33M","0,02%"
"14.06.2021","0,9997","0,9998","1,0000","0,9996","799,01M","-0,02%"
"13.06.2021","0,9999","0,9999","0,9999","0,9998","482,05M","0,01%"
"12.06.2021","0,9998","0,9999","0,9999","0,9997","615,04M","-0,01%"
"11.06.2021","0,9999","0,9997","1,0000","0,9996","660,33M","0,02%"
"10.06.2021","0,9997","0,9995","0,9997","0,9994","787,38M","0,02%"
"09.06.2021","0,9995","0,9993","0,9995","0,9991","1,06B","0,02%"
"08.06.2021","0,9993","0,9997","0,9997","0,9991","1,40B","-0,04%"
"07.06.2021","0,9997","0,9997","0,9999","0,9993","1,16B","0,01%"
"06.06.2021","0,9996","0,9997","0,9998","0,9995","595,68M","0,00%"
"05.06.2021","0,9996","0,9995","0,9999","0,9994","905,51M","0,00%"
