"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","78,587","72,800","79,951","70,922","5,71M","7,88%"
"19.08.2021","72,845","72,938","75,249","68,515","7,82M","0,06%"
"18.08.2021","72,801","63,923","80,257","59,827","15,02M","13,47%"
"17.08.2021","64,159","62,018","75,042","59,127","14,96M","3,28%"
"16.08.2021","62,122","53,648","68,952","52,396","15,01M","16,16%"
"15.08.2021","53,480","44,145","54,631","43,371","6,26M","21,15%"
"14.08.2021","44,144","44,842","44,863","42,772","1,55M","-1,59%"
"13.08.2021","44,858","41,119","44,909","40,696","2,28M","9,22%"
"12.08.2021","41,073","41,635","43,400","39,370","2,41M","-1,41%"
"11.08.2021","41,662","40,660","43,728","40,637","2,51M","2,52%"
"10.08.2021","40,636","38,656","41,635","38,252","2,60M","5,08%"
"09.08.2021","38,671","37,661","39,991","36,356","2,13M","2,70%"
"08.08.2021","37,654","39,500","39,526","36,910","2,03M","-4,60%"
"07.08.2021","39,469","39,522","40,482","37,521","3,56M","0,09%"
"06.08.2021","39,435","37,357","40,388","35,680","3,95M","5,59%"
"05.08.2021","37,348","35,798","38,252","35,542","4,06M","4,42%"
"04.08.2021","35,768","34,094","36,658","33,259","2,85M","4,97%"
"03.08.2021","34,075","33,167","35,843","32,376","3,49M","2,67%"
"02.08.2021","33,190","34,086","35,929","33,033","3,11M","-2,88%"
"01.08.2021","34,175","36,742","36,792","33,352","3,49M","-7,25%"
"31.07.2021","36,846","32,401","36,907","31,677","4,31M","13,92%"
"30.07.2021","32,344","31,235","33,051","30,000","4,97M","3,40%"
"29.07.2021","31,281","27,845","31,874","27,319","3,69M","12,23%"
"28.07.2021","27,873","28,115","28,749","27,378","2,33M","-0,81%"
"27.07.2021","28,100","28,184","28,931","26,934","3,01M","-0,49%"
"26.07.2021","28,237","28,255","31,097","27,898","6,23M","-0,01%"
"25.07.2021","28,240","28,681","28,681","26,545","2,35M","-1,85%"
"24.07.2021","28,772","28,592","29,454","28,266","3,02M","0,89%"
"23.07.2021","28,519","27,692","28,695","26,415","3,04M","2,96%"
"22.07.2021","27,698","26,679","28,158","25,940","2,64M","3,90%"
"21.07.2021","26,659","23,494","27,421","22,842","4,56M","13,55%"
"20.07.2021","23,478","24,466","24,971","22,116","3,55M","-4,14%"
